preset,Linear_MAPE,Boost_MAPE,n,groups,cv
fast,0.31765195415942443,0.307927732599406,120,30,GroupKFold(5)
faster,0.328661256507387,0.2866012486109213,120,30,GroupKFold(5)
superfast,0.31602995903433106,0.3031021770243897,120,30,GroupKFold(5)
veryfast,0.29222798246276593,0.30771054683710825,120,30,GroupKFold(5)
