preset,A_linear,A_xgb,B_linear,B_xgb,AminusB_xgb,AminusB_linear
fast,0.16605236330720569,0.1332786407179318,0.31765195415942443,0.307927732599406,-0.17464909188147418,-0.15159959085221875
faster,0.1694550645212797,0.1271997313879893,0.328661256507387,0.2866012486109213,-0.159401517222932,-0.15920619198610728
veryfast,0.1546446131412708,0.13756987441792962,0.29222798246276593,0.30771054683710825,-0.17014067241917863,-0.13758336932149515
superfast,0.14633264135033333,0.1399662726267513,0.31602995903433106,0.3031021770243897,-0.1631359043976384,-0.16969731768399773
