preset,Linear_MAPE,Boost_MAPE,n,groups,cv
fast,0.16605236330720569,0.1332786407179318,120,30,GroupKFold(5)
faster,0.1694550645212797,0.1271997313879893,120,30,GroupKFold(5)
superfast,0.14633264135033333,0.1399662726267513,120,30,GroupKFold(5)
veryfast,0.1546446131412708,0.13756987441792962,120,30,GroupKFold(5)
