encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
x265,360p,BlueSky_360p,37,medium,0.424271,2443.8,32.0531,34.6565,36.784,32.511494,87.894135,31.117642187691,2.824575669
x265,360p,BlueSky_360p,37,superfast,0.424444,2444.8,31.8671,34.6543,36.7695,32.3477,78.3685798,39.8002351936483,1.9690481581
x265,360p,BlueSky_360p,37,ultrafast,0.440486,2537.2,31.0865,34.5994,36.7417,31.659506,22.1831144615385,38.4857121873804,0.576398699692308
x265,360p,BlueSky_360p,37,veryfast,0.423681,2440.4,32.0427,34.6624,36.7797,32.502494,82.6530354,30.7542923827642,2.687528439
x265,1080p,Boat_2k,22,fast,1.527969,189913.92,42.2805,43.2186,44.1424,42.4555,1188.599899,40.625201,29.257699
x265,1080p,Boat_2k,22,faster,1.527958,189912.52,42.2805,43.2186,44.1424,42.4555,1189.1208675,40.579579,29.30343
x265,1080p,Boat_2k,22,medium,1.527119,189808.2,42.2954,43.2148,44.1436,42.468375,1249.05475525,40.400133,30.917095
x265,1080p,Boat_2k,22,superfast,1.526291,189705.31,42.2202,43.1292,44.0039,42.388494,1119.83920475,40.669478,27.535126
x265,1080p,Boat_2k,22,ultrafast,1.574979,195756.81,41.7738,42.9299,43.7931,41.972262,306.936604,40.219081,7.631616
x265,1080p,Boat_2k,22,veryfast,1.527958,189912.52,42.2805,43.2186,44.1424,42.4555,1181.0580415,40.527906,29.141847
x265,1080p,Boat_2k,27,fast,0.956124,118838.28,38.4456,40.3034,41.5314,38.754575,1043.914002,41.176176,25.352379
x265,1080p,Boat_2k,27,faster,0.956113,118836.86,38.4456,40.3034,41.5314,38.754575,1040.69834025,41.057567,25.347297
x265,1080p,Boat_2k,27,medium,0.955535,118765.12,38.4541,40.302,41.5275,38.761681,1101.5727565,41.184242,26.747433
x265,1080p,Boat_2k,27,superfast,0.956952,118941.18,38.3399,40.2074,41.3941,38.647506,985.6544135,41.312811,23.858323
x265,1080p,Boat_2k,27,ultrafast,0.987924,122790.81,37.9878,40.1069,41.28,38.326006,263.64537,41.008515,6.42904
x265,1080p,Boat_2k,27,veryfast,0.956113,118836.86,38.4456,40.3034,41.5314,38.754575,1039.1138255,41.245186,25.193578
x265,1080p,Boat_2k,32,fast,0.573361,71263.98,34.7798,38.328,39.7025,35.309231,904.517582,42.052304,21.509347
x265,1080p,Boat_2k,32,faster,0.573349,71262.56,34.7798,38.328,39.7025,35.309231,904.476896,42.125847,21.47083
