value,unit,event,time,percent,metric,metric_desc,vendor,config,config_id,preset,qp,sequence,src_res,fps,bit,chroma,enc_res,target_fps,frames,test_type
30740650.0,,dtlb-load-misses,79727124643.0,45.47,3.04,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Boat,1920x1080,5994,8,420,1920x1080,60,130,extended
4175703017390.0,,instructions,219436394245.0,45.45,2.39,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
1745692181826.0,,cycles,219399057927.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
81454820912.0,,cache-references,219397687635.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
4768321230.0,,cache-misses,219438330056.0,45.45,5.854,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
1517561522138.0,,l1-dcache-loads,219470889490.0,45.46,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
21396693178.0,,l1-dcache-load-misses,219511336617.0,45.47,1.41,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
2459514096.0,,l1-icache-load-misses,219558725943.0,45.48,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
410374451501.0,,branch-instructions,219564265683.0,45.48,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
13424131600.0,,branch-misses,219532962748.0,45.47,3.27,of all branches,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
1871091770.0,,dtlb-loads,219507635026.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
76573313.0,,dtlb-load-misses,219471800640.0,45.46,4.09,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,BoxingPractice,3840x2160,5994,8,420,3840x2160,60,130,extended
4156167295003.0,,instructions,238858017216.0,45.45,2.43,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
1708483899355.0,,cycles,238825233463.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
83436651125.0,,cache-references,238824474582.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
4651880832.0,,cache-misses,238861055387.0,45.45,5.575,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
1522942384745.0,,l1-dcache-loads,238899138640.0,45.46,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
22259029313.0,,l1-dcache-load-misses,238942348623.0,45.47,1.46,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
3007101305.0,,l1-icache-load-misses,238983717516.0,45.48,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
409213454156.0,,branch-instructions,238992172822.0,45.48,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
12426108882.0,,branch-misses,238959293136.0,45.47,3.04,of all branches,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
1878052841.0,,dtlb-loads,238930395697.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,Crosswalk,3840x2160,5994,8,420,3840x2160,60,130,extended
