index,qp,preset,seqname,config,E_hw_slow,instructions,cycles,branches,branch-misses,cache-references,cache-misses,l1-dcache-loads,l1-dcache-load-misses,l1-dcache-stores,l1-icache-load-misses,llc-loads,llc-load-misses,llc-stores,llc-store-misses,dtlb-loads,dtlb-load-misses,dtlb-stores,dtlb-store-misses
24,22,fast,TunnelFlag,A,6.8743,1.12346E+12,6.51442E+11,1.10929E+11,5247923467,2297900095,199112386,2.97466E+11,4889710014,1.33721E+11,2954207232,584745851,106649737,408119971,92709518,2.97042E+11,33836256,1.33409E+11,13268729
25,22,fast,Vertical_Carnaby,A,6.4007,9.81629E+11,5.63329E+11,79968556231,2955239084,1809975341,171891764,2.69255E+11,4258290359,1.15512E+11,11245362824,613693551,100470154,498561959,101256998,2.68669E+11,26458315,1.15253E+11,11337255
26,22,fast,Vertical_bees,A,6.3932,9.16069E+11,5.19577E+11,89867645445,3558048437,2163777445,175412896,2.47704E+11,4582834984,1.13039E+11,2652322928,536092479,96132420,375873768,77300364,2.47535E+11,25307426,1.12911E+11,9598853
27,22,fast,WalkingInStreet,A,7.2554,1.42004E+12,8.01132E+11,1.41252E+11,6988092013,2225486278,223586381,3.52258E+11,4783230759,1.5183E+11,2885116167,525976663,118058537,404077738,102765484,3.51757E+11,35091555,1.51606E+11,15524488
28,22,fast,WorldCup_1920x1080_30p,A,6.3279,8.05689E+11,3.78953E+11,77729100304,2732451335,482810670,368690219,2.20172E+11,4252256961,99154701193,7698542095,76520910,62254440,82858554,65779860,2.20001E+11,8103375,99055611042,4377768
29,22,fast,WorldCup_far_1920x1080_30p,A,7.0555,1.0813E+12,5.37814E+11,1.0505E+11,4933714386,565148223,446890532,2.86079E+11,4584005273,1.2779E+11,8811305586,84102412,69705448,97843780,83570014,2.85411E+11,10350662,1.27341E+11,5867041
30,27,fast,Aerial3200,A,6.3714,1.15862E+12,6.53614E+11,1.13781E+11,5277338409,2163124870,195140380,3.01899E+11,4892844944,1.34607E+11,2800512264,525188056,112250771,388374996,83130325,3.01586E+11,28386978,1.3432E+11,9727497
31,27,fast,Boat,A,6.8668,1.17909E+12,6.77843E+11,1.16598E+11,5701548138,2270958294,193640887,3.09034E+11,4891116413,1.38521E+11,2891035269,564169916,103663995,405525000,90163165,3.08817E+11,34651772,1.38276E+11,11155343
32,27,fast,BoxingPractice,A,13.0487,3.35591E+12,1.56323E+12,3.27571E+11,10987366456,1797790330,1436405529,9.24092E+11,18496623170,4.19483E+11,31086706931,294130083,252313886,295486475,250863658,9.22962E+11,26725238,4.18581E+11,14236111
33,27,fast,Crosswalk,A,12.9287,3.24747E+12,1.49316E+12,3.21931E+11,9708538033,2003861543,1475969943,9.02464E+11,18494280655,4.1179E+11,30170294123,323092987,267864987,304524209,244404886,9.00946E+11,24981812,4.10727E+11,14347070
