sequence,qp,preset,metric,A_value,B_value,delta_B_minus_A,relative_change_B_over_A
NocturneDance_3840x2160p_8bit,27,faster,qp,27.0,27.0,0.0,0.0
OldTownCross,27,faster,qp,27.0,27.0,0.0,0.0
PedestrianArea,27,faster,qp,27.0,27.0,0.0,0.0
PierSeaSide,27,faster,qp,27.0,27.0,0.0,0.0
RitualDance,27,faster,qp,27.0,27.0,0.0,0.0
Riverbed,27,faster,qp,27.0,27.0,0.0,0.0
RushFieldCuts,27,faster,qp,27.0,27.0,0.0,0.0
Skater227,27,faster,qp,27.0,27.0,0.0,0.0
Tango,27,faster,qp,27.0,27.0,0.0,0.0
TimeLapse,27,faster,qp,27.0,27.0,0.0,0.0
ToddlerFountain,27,faster,qp,27.0,27.0,0.0,0.0
TreesAndGrass_1920_1080,27,faster,qp,27.0,27.0,0.0,0.0
TunnelFlag,27,faster,qp,27.0,27.0,0.0,0.0
Vertical_Carnaby,27,faster,qp,27.0,27.0,0.0,0.0
Vertical_bees,27,faster,qp,27.0,27.0,0.0,0.0
WalkingInStreet,27,faster,qp,27.0,27.0,0.0,0.0
WorldCup_1920x1080_30p,27,faster,qp,27.0,27.0,0.0,0.0
WorldCup_far_1920x1080_30p,27,faster,qp,27.0,27.0,0.0,0.0
Aerial3200,32,faster,qp,32.0,32.0,0.0,0.0
Boat,32,faster,qp,32.0,32.0,0.0,0.0
BoxingPractice,32,faster,qp,32.0,32.0,0.0,0.0
Crosswalk,32,faster,qp,32.0,32.0,0.0,0.0
CrowdRun,32,faster,qp,32.0,32.0,0.0,0.0
DinnerSceneCropped,32,faster,qp,32.0,32.0,0.0,0.0
FoodMarket,32,faster,qp,32.0,32.0,0.0,0.0
FoodMarket2,32,faster,qp,32.0,32.0,0.0,0.0
MeridianTalk_sdr,32,faster,qp,32.0,32.0,0.0,0.0
Motorcycle,32,faster,qp,32.0,32.0,0.0,0.0
MountainBike,32,faster,qp,32.0,32.0,0.0,0.0
Neon1224,32,faster,qp,32.0,32.0,0.0,0.0
NocturneDance_3840x2160p_8bit,32,faster,qp,32.0,32.0,0.0,0.0
OldTownCross,32,faster,qp,32.0,32.0,0.0,0.0
PedestrianArea,32,faster,qp,32.0,32.0,0.0,0.0
PierSeaSide,32,faster,qp,32.0,32.0,0.0,0.0
RitualDance,32,faster,qp,32.0,32.0,0.0,0.0
Riverbed,32,faster,qp,32.0,32.0,0.0,0.0
RushFieldCuts,32,faster,qp,32.0,32.0,0.0,0.0
Skater227,32,faster,qp,32.0,32.0,0.0,0.0
Tango,32,faster,qp,32.0,32.0,0.0,0.0
TimeLapse,32,faster,qp,32.0,32.0,0.0,0.0
ToddlerFountain,32,faster,qp,32.0,32.0,0.0,0.0
TreesAndGrass_1920_1080,32,faster,qp,32.0,32.0,0.0,0.0
TunnelFlag,32,faster,qp,32.0,32.0,0.0,0.0
Vertical_Carnaby,32,faster,qp,32.0,32.0,0.0,0.0
Vertical_bees,32,faster,qp,32.0,32.0,0.0,0.0
WalkingInStreet,32,faster,qp,32.0,32.0,0.0,0.0
WorldCup_1920x1080_30p,32,faster,qp,32.0,32.0,0.0,0.0
WorldCup_far_1920x1080_30p,32,faster,qp,32.0,32.0,0.0,0.0
Aerial3200,37,faster,qp,37.0,37.0,0.0,0.0
Boat,37,faster,qp,37.0,37.0,0.0,0.0
BoxingPractice,37,faster,qp,37.0,37.0,0.0,0.0
Crosswalk,37,faster,qp,37.0,37.0,0.0,0.0
CrowdRun,37,faster,qp,37.0,37.0,0.0,0.0
DinnerSceneCropped,37,faster,qp,37.0,37.0,0.0,0.0
FoodMarket,37,faster,qp,37.0,37.0,0.0,0.0
FoodMarket2,37,faster,qp,37.0,37.0,0.0,0.0
MeridianTalk_sdr,37,faster,qp,37.0,37.0,0.0,0.0
Motorcycle,37,faster,qp,37.0,37.0,0.0,0.0
MountainBike,37,faster,qp,37.0,37.0,0.0,0.0
Neon1224,37,faster,qp,37.0,37.0,0.0,0.0
NocturneDance_3840x2160p_8bit,37,faster,qp,37.0,37.0,0.0,0.0
OldTownCross,37,faster,qp,37.0,37.0,0.0,0.0
PedestrianArea,37,faster,qp,37.0,37.0,0.0,0.0
PierSeaSide,37,faster,qp,37.0,37.0,0.0,0.0
RitualDance,37,faster,qp,37.0,37.0,0.0,0.0
Riverbed,37,faster,qp,37.0,37.0,0.0,0.0
RushFieldCuts,37,faster,qp,37.0,37.0,0.0,0.0
Skater227,37,faster,qp,37.0,37.0,0.0,0.0
Tango,37,faster,qp,37.0,37.0,0.0,0.0
TimeLapse,37,faster,qp,37.0,37.0,0.0,0.0
ToddlerFountain,37,faster,qp,37.0,37.0,0.0,0.0
TreesAndGrass_1920_1080,37,faster,qp,37.0,37.0,0.0,0.0
TunnelFlag,37,faster,qp,37.0,37.0,0.0,0.0
Vertical_Carnaby,37,faster,qp,37.0,37.0,0.0,0.0
Vertical_bees,37,faster,qp,37.0,37.0,0.0,0.0
WalkingInStreet,37,faster,qp,37.0,37.0,0.0,0.0
WorldCup_1920x1080_30p,37,faster,qp,37.0,37.0,0.0,0.0
WorldCup_far_1920x1080_30p,37,faster,qp,37.0,37.0,0.0,0.0
Aerial3200,22,superfast,qp,22.0,22.0,0.0,0.0
Boat,22,superfast,qp,22.0,22.0,0.0,0.0
BoxingPractice,22,superfast,qp,22.0,22.0,0.0,0.0
Crosswalk,22,superfast,qp,22.0,22.0,0.0,0.0
CrowdRun,22,superfast,qp,22.0,22.0,0.0,0.0
DinnerSceneCropped,22,superfast,qp,22.0,22.0,0.0,0.0
FoodMarket,22,superfast,qp,22.0,22.0,0.0,0.0
FoodMarket2,22,superfast,qp,22.0,22.0,0.0,0.0
MeridianTalk_sdr,22,superfast,qp,22.0,22.0,0.0,0.0
Motorcycle,22,superfast,qp,22.0,22.0,0.0,0.0
MountainBike,22,superfast,qp,22.0,22.0,0.0,0.0
Neon1224,22,superfast,qp,22.0,22.0,0.0,0.0
NocturneDance_3840x2160p_8bit,22,superfast,qp,22.0,22.0,0.0,0.0
OldTownCross,22,superfast,qp,22.0,22.0,0.0,0.0
PedestrianArea,22,superfast,qp,22.0,22.0,0.0,0.0
PierSeaSide,22,superfast,qp,22.0,22.0,0.0,0.0
RitualDance,22,superfast,qp,22.0,22.0,0.0,0.0
Riverbed,22,superfast,qp,22.0,22.0,0.0,0.0
RushFieldCuts,22,superfast,qp,22.0,22.0,0.0,0.0
Skater227,22,superfast,qp,22.0,22.0,0.0,0.0
Tango,22,superfast,qp,22.0,22.0,0.0,0.0
TimeLapse,22,superfast,qp,22.0,22.0,0.0,0.0
ToddlerFountain,22,superfast,qp,22.0,22.0,0.0,0.0
TreesAndGrass_1920_1080,22,superfast,qp,22.0,22.0,0.0,0.0
TunnelFlag,22,superfast,qp,22.0,22.0,0.0,0.0
Vertical_Carnaby,22,superfast,qp,22.0,22.0,0.0,0.0
Vertical_bees,22,superfast,qp,22.0,22.0,0.0,0.0
WalkingInStreet,22,superfast,qp,22.0,22.0,0.0,0.0
WorldCup_1920x1080_30p,22,superfast,qp,22.0,22.0,0.0,0.0
WorldCup_far_1920x1080_30p,22,superfast,qp,22.0,22.0,0.0,0.0
Aerial3200,27,superfast,qp,27.0,27.0,0.0,0.0
Boat,27,superfast,qp,27.0,27.0,0.0,0.0
BoxingPractice,27,superfast,qp,27.0,27.0,0.0,0.0
Crosswalk,27,superfast,qp,27.0,27.0,0.0,0.0
CrowdRun,27,superfast,qp,27.0,27.0,0.0,0.0
DinnerSceneCropped,27,superfast,qp,27.0,27.0,0.0,0.0
FoodMarket,27,superfast,qp,27.0,27.0,0.0,0.0
FoodMarket2,27,superfast,qp,27.0,27.0,0.0,0.0
MeridianTalk_sdr,27,superfast,qp,27.0,27.0,0.0,0.0
Motorcycle,27,superfast,qp,27.0,27.0,0.0,0.0
MountainBike,27,superfast,qp,27.0,27.0,0.0,0.0
Neon1224,27,superfast,qp,27.0,27.0,0.0,0.0
NocturneDance_3840x2160p_8bit,27,superfast,qp,27.0,27.0,0.0,0.0
OldTownCross,27,superfast,qp,27.0,27.0,0.0,0.0
PedestrianArea,27,superfast,qp,27.0,27.0,0.0,0.0
PierSeaSide,27,superfast,qp,27.0,27.0,0.0,0.0
RitualDance,27,superfast,qp,27.0,27.0,0.0,0.0
Riverbed,27,superfast,qp,27.0,27.0,0.0,0.0
RushFieldCuts,27,superfast,qp,27.0,27.0,0.0,0.0
Skater227,27,superfast,qp,27.0,27.0,0.0,0.0
Tango,27,superfast,qp,27.0,27.0,0.0,0.0
TimeLapse,27,superfast,qp,27.0,27.0,0.0,0.0
ToddlerFountain,27,superfast,qp,27.0,27.0,0.0,0.0
TreesAndGrass_1920_1080,27,superfast,qp,27.0,27.0,0.0,0.0
TunnelFlag,27,superfast,qp,27.0,27.0,0.0,0.0
Vertical_Carnaby,27,superfast,qp,27.0,27.0,0.0,0.0
Vertical_bees,27,superfast,qp,27.0,27.0,0.0,0.0
WalkingInStreet,27,superfast,qp,27.0,27.0,0.0,0.0
WorldCup_1920x1080_30p,27,superfast,qp,27.0,27.0,0.0,0.0
WorldCup_far_1920x1080_30p,27,superfast,qp,27.0,27.0,0.0,0.0
Aerial3200,32,superfast,qp,32.0,32.0,0.0,0.0
Boat,32,superfast,qp,32.0,32.0,0.0,0.0
BoxingPractice,32,superfast,qp,32.0,32.0,0.0,0.0
Crosswalk,32,superfast,qp,32.0,32.0,0.0,0.0
CrowdRun,32,superfast,qp,32.0,32.0,0.0,0.0
DinnerSceneCropped,32,superfast,qp,32.0,32.0,0.0,0.0
FoodMarket,32,superfast,qp,32.0,32.0,0.0,0.0
FoodMarket2,32,superfast,qp,32.0,32.0,0.0,0.0
MeridianTalk_sdr,32,superfast,qp,32.0,32.0,0.0,0.0
Motorcycle,32,superfast,qp,32.0,32.0,0.0,0.0
MountainBike,32,superfast,qp,32.0,32.0,0.0,0.0
Neon1224,32,superfast,qp,32.0,32.0,0.0,0.0
NocturneDance_3840x2160p_8bit,32,superfast,qp,32.0,32.0,0.0,0.0
OldTownCross,32,superfast,qp,32.0,32.0,0.0,0.0
PedestrianArea,32,superfast,qp,32.0,32.0,0.0,0.0
PierSeaSide,32,superfast,qp,32.0,32.0,0.0,0.0
RitualDance,32,superfast,qp,32.0,32.0,0.0,0.0
Riverbed,32,superfast,qp,32.0,32.0,0.0,0.0
RushFieldCuts,32,superfast,qp,32.0,32.0,0.0,0.0
Skater227,32,superfast,qp,32.0,32.0,0.0,0.0
Tango,32,superfast,qp,32.0,32.0,0.0,0.0
TimeLapse,32,superfast,qp,32.0,32.0,0.0,0.0
ToddlerFountain,32,superfast,qp,32.0,32.0,0.0,0.0
TreesAndGrass_1920_1080,32,superfast,qp,32.0,32.0,0.0,0.0
TunnelFlag,32,superfast,qp,32.0,32.0,0.0,0.0
Vertical_Carnaby,32,superfast,qp,32.0,32.0,0.0,0.0
Vertical_bees,32,superfast,qp,32.0,32.0,0.0,0.0
WalkingInStreet,32,superfast,qp,32.0,32.0,0.0,0.0
WorldCup_1920x1080_30p,32,superfast,qp,32.0,32.0,0.0,0.0
WorldCup_far_1920x1080_30p,32,superfast,qp,32.0,32.0,0.0,0.0
Aerial3200,37,superfast,qp,37.0,37.0,0.0,0.0
Boat,37,superfast,qp,37.0,37.0,0.0,0.0
BoxingPractice,37,superfast,qp,37.0,37.0,0.0,0.0
Crosswalk,37,superfast,qp,37.0,37.0,0.0,0.0
CrowdRun,37,superfast,qp,37.0,37.0,0.0,0.0
DinnerSceneCropped,37,superfast,qp,37.0,37.0,0.0,0.0
FoodMarket,37,superfast,qp,37.0,37.0,0.0,0.0
FoodMarket2,37,superfast,qp,37.0,37.0,0.0,0.0
MeridianTalk_sdr,37,superfast,qp,37.0,37.0,0.0,0.0
Motorcycle,37,superfast,qp,37.0,37.0,0.0,0.0
MountainBike,37,superfast,qp,37.0,37.0,0.0,0.0
Neon1224,37,superfast,qp,37.0,37.0,0.0,0.0
NocturneDance_3840x2160p_8bit,37,superfast,qp,37.0,37.0,0.0,0.0
OldTownCross,37,superfast,qp,37.0,37.0,0.0,0.0
PedestrianArea,37,superfast,qp,37.0,37.0,0.0,0.0
PierSeaSide,37,superfast,qp,37.0,37.0,0.0,0.0
RitualDance,37,superfast,qp,37.0,37.0,0.0,0.0
Riverbed,37,superfast,qp,37.0,37.0,0.0,0.0
RushFieldCuts,37,superfast,qp,37.0,37.0,0.0,0.0
Skater227,37,superfast,qp,37.0,37.0,0.0,0.0
Tango,37,superfast,qp,37.0,37.0,0.0,0.0
TimeLapse,37,superfast,qp,37.0,37.0,0.0,0.0
ToddlerFountain,37,superfast,qp,37.0,37.0,0.0,0.0
TreesAndGrass_1920_1080,37,superfast,qp,37.0,37.0,0.0,0.0
TunnelFlag,37,superfast,qp,37.0,37.0,0.0,0.0
Vertical_Carnaby,37,superfast,qp,37.0,37.0,0.0,0.0
Vertical_bees,37,superfast,qp,37.0,37.0,0.0,0.0
WalkingInStreet,37,superfast,qp,37.0,37.0,0.0,0.0
WorldCup_1920x1080_30p,37,superfast,qp,37.0,37.0,0.0,0.0
WorldCup_far_1920x1080_30p,37,superfast,qp,37.0,37.0,0.0,0.0
Aerial3200,22,veryfast,qp,22.0,22.0,0.0,0.0
Boat,22,veryfast,qp,22.0,22.0,0.0,0.0
BoxingPractice,22,veryfast,qp,22.0,22.0,0.0,0.0
Crosswalk,22,veryfast,qp,22.0,22.0,0.0,0.0
CrowdRun,22,veryfast,qp,22.0,22.0,0.0,0.0
DinnerSceneCropped,22,veryfast,qp,22.0,22.0,0.0,0.0
FoodMarket,22,veryfast,qp,22.0,22.0,0.0,0.0
FoodMarket2,22,veryfast,qp,22.0,22.0,0.0,0.0
MeridianTalk_sdr,22,veryfast,qp,22.0,22.0,0.0,0.0
Motorcycle,22,veryfast,qp,22.0,22.0,0.0,0.0
MountainBike,22,veryfast,qp,22.0,22.0,0.0,0.0
Neon1224,22,veryfast,qp,22.0,22.0,0.0,0.0
NocturneDance_3840x2160p_8bit,22,veryfast,qp,22.0,22.0,0.0,0.0
OldTownCross,22,veryfast,qp,22.0,22.0,0.0,0.0
PedestrianArea,22,veryfast,qp,22.0,22.0,0.0,0.0
PierSeaSide,22,veryfast,qp,22.0,22.0,0.0,0.0
RitualDance,22,veryfast,qp,22.0,22.0,0.0,0.0
Riverbed,22,veryfast,qp,22.0,22.0,0.0,0.0
RushFieldCuts,22,veryfast,qp,22.0,22.0,0.0,0.0
Skater227,22,veryfast,qp,22.0,22.0,0.0,0.0
Tango,22,veryfast,qp,22.0,22.0,0.0,0.0
TimeLapse,22,veryfast,qp,22.0,22.0,0.0,0.0
ToddlerFountain,22,veryfast,qp,22.0,22.0,0.0,0.0
TreesAndGrass_1920_1080,22,veryfast,qp,22.0,22.0,0.0,0.0
TunnelFlag,22,veryfast,qp,22.0,22.0,0.0,0.0
Vertical_Carnaby,22,veryfast,qp,22.0,22.0,0.0,0.0
Vertical_bees,22,veryfast,qp,22.0,22.0,0.0,0.0
WalkingInStreet,22,veryfast,qp,22.0,22.0,0.0,0.0
WorldCup_1920x1080_30p,22,veryfast,qp,22.0,22.0,0.0,0.0
WorldCup_far_1920x1080_30p,22,veryfast,qp,22.0,22.0,0.0,0.0
Aerial3200,27,veryfast,qp,27.0,27.0,0.0,0.0
Boat,27,veryfast,qp,27.0,27.0,0.0,0.0
BoxingPractice,27,veryfast,qp,27.0,27.0,0.0,0.0
Crosswalk,27,veryfast,qp,27.0,27.0,0.0,0.0
CrowdRun,27,veryfast,qp,27.0,27.0,0.0,0.0
DinnerSceneCropped,27,veryfast,qp,27.0,27.0,0.0,0.0
FoodMarket,27,veryfast,qp,27.0,27.0,0.0,0.0
FoodMarket2,27,veryfast,qp,27.0,27.0,0.0,0.0
MeridianTalk_sdr,27,veryfast,qp,27.0,27.0,0.0,0.0
Motorcycle,27,veryfast,qp,27.0,27.0,0.0,0.0
MountainBike,27,veryfast,qp,27.0,27.0,0.0,0.0
Neon1224,27,veryfast,qp,27.0,27.0,0.0,0.0
NocturneDance_3840x2160p_8bit,27,veryfast,qp,27.0,27.0,0.0,0.0
OldTownCross,27,veryfast,qp,27.0,27.0,0.0,0.0
PedestrianArea,27,veryfast,qp,27.0,27.0,0.0,0.0
PierSeaSide,27,veryfast,qp,27.0,27.0,0.0,0.0
RitualDance,27,veryfast,qp,27.0,27.0,0.0,0.0
Riverbed,27,veryfast,qp,27.0,27.0,0.0,0.0
RushFieldCuts,27,veryfast,qp,27.0,27.0,0.0,0.0
Skater227,27,veryfast,qp,27.0,27.0,0.0,0.0
Tango,27,veryfast,qp,27.0,27.0,0.0,0.0
TimeLapse,27,veryfast,qp,27.0,27.0,0.0,0.0
ToddlerFountain,27,veryfast,qp,27.0,27.0,0.0,0.0
TreesAndGrass_1920_1080,27,veryfast,qp,27.0,27.0,0.0,0.0
TunnelFlag,27,veryfast,qp,27.0,27.0,0.0,0.0
Vertical_Carnaby,27,veryfast,qp,27.0,27.0,0.0,0.0
