video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
FoodMarket2_4k,32,superfast,61366.14,40.4003,43.6975,44.0105
FoodMarket2_4k,37,superfast,36734.34,37.9031,42.1074,42.4689
FoodMarket2_4k,22,veryfast,189047.34,44.5530,48.2226,48.2891
FoodMarket2_4k,27,veryfast,105619.91,42.6577,45.7833,45.9785
FoodMarket2_4k,32,veryfast,61178.28,40.4372,43.6941,44.0079
FoodMarket2_4k,37,veryfast,36458.23,37.9090,42.0857,42.4544
FoodMarket2_4k,22,faster,189047.34,44.5530,48.2226,48.2891
FoodMarket2_4k,27,faster,105619.91,42.6577,45.7833,45.9785
FoodMarket2_4k,32,faster,61178.28,40.4372,43.6941,44.0079
FoodMarket2_4k,37,faster,36458.23,37.9090,42.0857,42.4544
FoodMarket2_4k,22,fast,189048.75,44.5530,48.2226,48.2891
FoodMarket2_4k,27,fast,105621.34,42.6577,45.7833,45.9785
FoodMarket2_4k,32,fast,61179.70,40.4372,43.6941,44.0079
FoodMarket2_4k,37,fast,36459.64,37.9090,42.0857,42.4544
FoodMarket2_4k,22,medium,188814.64,44.5605,48.2322,48.2962
FoodMarket2_4k,27,medium,105425.93,42.6636,45.7974,45.9968
FoodMarket2_4k,32,medium,60986.18,40.4462,43.7108,44.0262
FoodMarket2_4k,37,medium,36427.55,37.9174,42.1048,42.4688
FoodMarket2_4k,22,slow,158995.09,44.2511,47.9045,47.9448
FoodMarket2_4k,27,slow,92350.11,42.4055,45.3799,45.6209
FoodMarket2_4k,32,slow,54766.16,40.1806,43.1801,43.5767
FoodMarket2_4k,37,slow,31901.07,37.5483,41.5635,41.9796
FoodMarket2_4k,22,slower,158884.66,44.2587,47.8991,47.9411
FoodMarket2_4k,27,slower,92230.69,42.4149,45.3756,45.6099
FoodMarket2_4k,32,slower,54872.84,40.1944,43.1801,43.5768
FoodMarket2_4k,37,slower,31926.55,37.5684,41.5641,41.9819
FoodMarket2_4k,22,veryslow,158886.06,44.2587,47.8991,47.9411
FoodMarket2_4k,27,veryslow,92232.11,42.4149,45.3756,45.6099
FoodMarket2_4k,32,veryslow,54874.25,40.1944,43.1801,43.5768
FoodMarket2_4k,37,veryslow,31927.97,37.5684,41.5641,41.9819
FoodMarket2_4k,22,placebo,158794.02,44.2586,47.9034,47.9439
FoodMarket2_4k,27,placebo,92282.61,42.4160,45.3811,45.6153
FoodMarket2_4k,32,placebo,54816.67,40.1922,43.1829,43.5799
FoodMarket2_4k,37,placebo,31956.76,37.5646,41.5661,41.9828
Neon1224_4k,22,ultrafast,89286.83,45.8222,50.1035,49.8174
Neon1224_4k,27,ultrafast,48990.75,43.1674,47.5818,47.1766
Neon1224_4k,32,ultrafast,27615.19,40.6754,45.2021,44.7769
Neon1224_4k,37,ultrafast,16404.95,38.2811,43.1642,42.6960
Neon1224_4k,22,superfast,84579.31,46.6216,49.9449,49.7329
Neon1224_4k,27,superfast,46100.03,43.8235,47.3072,46.9884
Neon1224_4k,32,superfast,25778.45,41.1929,44.8312,44.4551
Neon1224_4k,37,superfast,15361.88,38.7103,42.8137,42.3765
Neon1224_4k,22,veryfast,84906.20,46.6795,50.0856,49.8628
Neon1224_4k,27,veryfast,46080.77,43.8882,47.4381,47.1071
Neon1224_4k,32,veryfast,25751.77,41.2516,44.9347,44.5541
Neon1224_4k,37,veryfast,15288.57,38.7534,42.8686,42.4179
Neon1224_4k,22,faster,84906.20,46.6795,50.0856,49.8628
Neon1224_4k,27,faster,46080.77,43.8882,47.4381,47.1071
Neon1224_4k,32,faster,25751.77,41.2516,44.9347,44.5541
Neon1224_4k,37,faster,15288.57,38.7534,42.8686,42.4179
Neon1224_4k,22,fast,84906.91,46.6795,50.0856,49.8628
Neon1224_4k,27,fast,46081.47,43.8882,47.4381,47.1071
Neon1224_4k,32,fast,25752.46,41.2516,44.9347,44.5541
Neon1224_4k,37,fast,15289.26,38.7534,42.8686,42.4179
Neon1224_4k,22,medium,84738.94,46.6900,50.0941,49.8696
Neon1224_4k,27,medium,46044.35,43.8975,47.4313,47.1059
Neon1224_4k,32,medium,25666.16,41.2569,44.9361,44.5529
Neon1224_4k,37,medium,15275.11,38.7575,42.8714,42.4189
Neon1224_4k,22,slow,77427.45,46.4424,49.8865,49.6331
Neon1224_4k,27,slow,40862.86,43.5554,47.1494,46.7702
Neon1224_4k,32,slow,22945.03,40.9197,44.5112,44.1384
Neon1224_4k,37,slow,13673.85,38.3570,42.5008,41.9942
Neon1224_4k,22,slower,77580.57,46.4695,49.8828,49.6217
Neon1224_4k,27,slower,40718.79,43.5758,47.1529,46.7677
Neon1224_4k,32,slower,22874.04,40.9407,44.5402,44.1496
Neon1224_4k,37,slower,13615.38,38.3928,42.5342,42.0245
Neon1224_4k,22,veryslow,77581.27,46.4695,49.8828,49.6217
Neon1224_4k,27,veryslow,40719.48,43.5758,47.1529,46.7677
Neon1224_4k,32,veryslow,22874.74,40.9407,44.5402,44.1496
Neon1224_4k,37,veryslow,13616.08,38.3928,42.5342,42.0245
Neon1224_4k,22,placebo,77447.17,46.4677,49.8891,49.6300
Neon1224_4k,27,placebo,40716.47,43.5737,47.1631,46.7786
Neon1224_4k,32,placebo,22898.40,40.9371,44.5531,44.1609
Neon1224_4k,37,placebo,13626.29,38.3812,42.5525,42.0252
NocturneDance_4k,22,ultrafast,215672.66,47.0425,44.2395,47.3587
NocturneDance_4k,27,ultrafast,120192.48,44.1384,41.3676,45.1915
NocturneDance_4k,32,ultrafast,64826.88,41.0790,39.2908,43.6617
NocturneDance_4k,37,ultrafast,34006.56,38.1522,37.8804,42.6696
NocturneDance_4k,22,superfast,207714.25,47.3319,44.5219,47.6278
NocturneDance_4k,27,superfast,116323.20,44.4222,41.5817,45.3315
NocturneDance_4k,32,superfast,63811.68,41.3846,39.4446,43.7278
NocturneDance_4k,37,superfast,33993.12,38.4014,37.9780,42.6968
NocturneDance_4k,22,veryfast,207963.86,47.3971,44.5561,47.6715
NocturneDance_4k,27,veryfast,116352.96,44.4751,41.6090,45.3653
NocturneDance_4k,32,veryfast,63880.80,41.4313,39.4619,43.7517
NocturneDance_4k,37,veryfast,34022.88,38.4352,37.9863,42.7081
NocturneDance_4k,22,faster,207963.86,47.3971,44.5561,47.6715
NocturneDance_4k,27,faster,116352.96,44.4751,41.6090,45.3653
NocturneDance_4k,32,faster,63880.80,41.4313,39.4619,43.7517
NocturneDance_4k,37,faster,34022.88,38.4352,37.9863,42.7081
NocturneDance_4k,22,fast,207965.28,47.3971,44.5561,47.6715
NocturneDance_4k,27,fast,116354.41,44.4751,41.6090,45.3653
NocturneDance_4k,32,fast,63882.25,41.4313,39.4619,43.7517
NocturneDance_4k,37,fast,34024.32,38.4352,37.9863,42.7081
NocturneDance_4k,22,medium,207844.34,47.4078,44.5567,47.6704
NocturneDance_4k,27,medium,116272.33,44.4807,41.6112,45.3641
NocturneDance_4k,32,medium,63773.76,41.4368,39.4614,43.7472
NocturneDance_4k,37,medium,33857.28,38.4370,37.9841,42.7116
NocturneDance_4k,22,slow,188750.89,47.2463,44.1460,47.2786
NocturneDance_4k,27,slow,102818.88,44.1984,41.0634,44.9716
NocturneDance_4k,32,slow,54713.29,41.0776,38.8207,43.4085
NocturneDance_4k,37,slow,27637.92,37.9775,37.2925,42.4854
NocturneDance_4k,22,slower,188418.25,47.2618,44.1526,47.2810
NocturneDance_4k,27,slower,102456.01,44.2111,41.0839,44.9830
NocturneDance_4k,32,slower,54755.04,41.1035,38.8579,43.4364
NocturneDance_4k,37,slower,28003.68,38.0351,37.3648,42.5091
NocturneDance_4k,22,veryslow,188419.69,47.2618,44.1526,47.2810
NocturneDance_4k,27,veryslow,102457.44,44.2111,41.0839,44.9830
NocturneDance_4k,32,veryslow,54756.48,41.1035,38.8579,43.4364
NocturneDance_4k,37,veryslow,28005.12,38.0351,37.3648,42.5091
NocturneDance_4k,22,placebo,188653.94,47.2654,44.1612,47.2910
NocturneDance_4k,27,placebo,102765.61,44.2175,41.0846,44.9908
NocturneDance_4k,32,placebo,54746.88,41.1055,38.8510,43.4240
NocturneDance_4k,37,placebo,27875.52,38.0279,37.3510,42.4981
PierSeaSide_4k,22,ultrafast,50993.37,45.7171,47.6910,45.7925
PierSeaSide_4k,27,ultrafast,27766.23,43.9983,45.8809,44.1346
PierSeaSide_4k,32,ultrafast,16182.47,41.9250,44.1544,42.8272
PierSeaSide_4k,37,ultrafast,9876.94,39.5801,42.6825,41.7341
PierSeaSide_4k,22,superfast,49151.99,45.8454,47.6834,45.8310
PierSeaSide_4k,27,superfast,26586.74,44.1472,45.8228,44.1244
PierSeaSide_4k,32,superfast,15705.47,42.1091,44.0163,42.7413
PierSeaSide_4k,37,superfast,9656.30,39.7401,42.5155,41.5944
PierSeaSide_4k,22,veryfast,49042.02,45.8780,47.7139,45.8498
PierSeaSide_4k,27,veryfast,26502.75,44.1986,45.8447,44.1416
