encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv
x265,4K,Crosswalk_4k,32,fast,0.041528,20646.220000,41.645100,46.238000,48.423100,42.355781
x265,4K,Crosswalk_4k,37,fast,0.025252,12554.260000,40.461400,45.223000,47.173900,41.178531
x265,4K,Crosswalk_4k,22,medium,0.216112,107443.730000,43.452000,48.426600,50.829700,44.224019
x265,4K,Crosswalk_4k,27,medium,0.075699,37634.920000,42.481400,47.358600,49.782800,43.242562
x265,4K,Crosswalk_4k,32,medium,0.041230,20498.020000,41.655000,46.242200,48.419700,42.364494
x265,4K,Crosswalk_4k,37,medium,0.025058,12457.970000,40.475500,45.224400,47.163700,41.190319
x265,4K,Crosswalk_4k,22,slow,0.128049,63661.950000,43.045800,48.206300,50.725800,43.848331
x265,4K,Crosswalk_4k,27,slow,0.063477,31558.860000,42.377500,47.202700,49.713900,43.137600
x265,4K,Crosswalk_4k,32,slow,0.036729,18260.260000,41.530300,45.952600,48.181100,42.222369
x265,4K,Crosswalk_4k,37,slow,0.022503,11187.820000,40.283400,44.847900,46.813900,40.976837
x265,4K,Crosswalk_4k,22,slower,0.127937,63606.250000,43.051600,48.209200,50.718900,43.853156
x265,4K,Crosswalk_4k,27,slower,0.063501,31570.660000,42.387600,47.205300,49.710700,43.146400
x265,4K,Crosswalk_4k,32,slower,0.036713,18252.710000,41.542600,45.954000,48.192000,42.233900
x265,4K,Crosswalk_4k,37,slower,0.022471,11171.770000,40.304200,44.850600,46.829100,40.996156
x265,4K,Crosswalk_4k,22,veryslow,0.127940,63607.670000,43.051600,48.209200,50.718900,43.853156
x265,4K,Crosswalk_4k,27,veryslow,0.063504,31572.080000,42.387600,47.205300,49.710700,43.146400
x265,4K,Crosswalk_4k,32,veryslow,0.036716,18254.130000,41.542600,45.954000,48.192000,42.233900
x265,4K,Crosswalk_4k,37,veryslow,0.022474,11173.180000,40.304200,44.850600,46.829100,40.996156
x265,4K,Crosswalk_4k,22,placebo,0.127891,63583.120000,43.051700,48.210000,50.722200,43.853500
x265,4K,Crosswalk_4k,27,placebo,0.063439,31539.520000,42.387200,47.205800,49.716900,43.146469
x265,4K,Crosswalk_4k,32,placebo,0.036556,18174.360000,41.539700,45.954400,48.188600,42.231175
x265,4K,Crosswalk_4k,37,placebo,0.022440,11156.660000,40.302100,44.848900,46.848800,40.995444
x265,4K,FoodMarket2_4k,22,ultrafast,0.383622,190724.360000,44.446200,48.145500,48.222300,44.913412
x265,4K,FoodMarket2_4k,27,ultrafast,0.214659,106721.090000,42.536800,45.780400,45.991000,42.955413
x265,4K,FoodMarket2_4k,32,ultrafast,0.123974,61635.650000,40.303400,43.714000,44.034100,40.749731
x265,4K,FoodMarket2_4k,37,ultrafast,0.073927,36754.170000,37.816600,42.116000,42.476700,38.376569
x265,4K,FoodMarket2_4k,22,superfast,0.380320,189082.730000,44.523700,48.177800,48.240100,44.984356
x265,4K,FoodMarket2_4k,27,superfast,0.212915,105854.030000,42.619600,45.776100,45.968900,43.026212
x265,4K,FoodMarket2_4k,32,superfast,0.123432,61366.140000,40.400300,43.697500,44.010500,40.832012
x265,4K,FoodMarket2_4k,37,superfast,0.073887,36734.340000,37.903100,42.107400,42.468900,38.451231
x265,4K,FoodMarket2_4k,22,veryfast,0.380249,189047.340000,44.553000,48.222600,48.289100,45.015856
x265,4K,FoodMarket2_4k,27,veryfast,0.212444,105619.910000,42.657700,45.783300,45.978500,43.060600
x265,4K,FoodMarket2_4k,32,veryfast,0.123054,61178.280000,40.437200,43.694100,44.007900,40.863925
x265,4K,FoodMarket2_4k,37,veryfast,0.073332,36458.230000,37.909000,42.085700,42.454400,38.454131
x265,4K,FoodMarket2_4k,22,faster,0.380249,189047.340000,44.553000,48.222600,48.289100,45.015856
x265,4K,FoodMarket2_4k,27,faster,0.212444,105619.910000,42.657700,45.783300,45.978500,43.060600
x265,4K,FoodMarket2_4k,32,faster,0.123054,61178.280000,40.437200,43.694100,44.007900,40.863925
x265,4K,FoodMarket2_4k,37,faster,0.073332,36458.230000,37.909000,42.085700,42.454400,38.454131
x265,4K,FoodMarket2_4k,22,fast,0.380252,189048.750000,44.553000,48.222600,48.289100,45.015856
x265,4K,FoodMarket2_4k,27,fast,0.212446,105621.340000,42.657700,45.783300,45.978500,43.060600
x265,4K,FoodMarket2_4k,32,fast,0.123057,61179.700000,40.437200,43.694100,44.007900,40.863925
x265,4K,FoodMarket2_4k,37,fast,0.073335,36459.640000,37.909000,42.085700,42.454400,38.454131
x265,4K,FoodMarket2_4k,22,medium,0.379781,188814.640000,44.560500,48.232200,48.296200,45.023463
x265,4K,FoodMarket2_4k,27,medium,0.212053,105425.930000,42.663600,45.797400,45.996800,43.067788
x265,4K,FoodMarket2_4k,32,medium,0.122667,60986.180000,40.446200,43.710800,44.026200,40.873987
x265,4K,FoodMarket2_4k,37,medium,0.073270,36427.550000,37.917400,42.104800,42.468800,38.463575
x265,4K,FoodMarket2_4k,22,slow,0.319802,158995.090000,44.251100,47.904500,47.944800,44.710294
x265,4K,FoodMarket2_4k,27,slow,0.185753,92350.110000,42.405500,45.379900,45.620900,42.792363
x265,4K,FoodMarket2_4k,32,slow,0.110157,54766.160000,40.180600,43.180100,43.576700,40.580325
x265,4K,FoodMarket2_4k,37,slow,0.064166,31901.070000,37.548300,41.563500,41.979600,38.076206
x265,4K,FoodMarket2_4k,22,slower,0.319580,158884.660000,44.258700,47.899100,47.941100,44.716375
x265,4K,FoodMarket2_4k,27,slower,0.185513,92230.690000,42.414900,45.375600,45.609900,42.799631
x265,4K,FoodMarket2_4k,32,slower,0.110371,54872.840000,40.194400,43.180100,43.576800,40.592406
x265,4K,FoodMarket2_4k,37,slower,0.064217,31926.550000,37.568400,41.564100,41.981900,38.093975
x265,4K,FoodMarket2_4k,22,veryslow,0.319583,158886.060000,44.258700,47.899100,47.941100,44.716375
x265,4K,FoodMarket2_4k,27,veryslow,0.185515,92232.110000,42.414900,45.375600,45.609900,42.799631
x265,4K,FoodMarket2_4k,32,veryslow,0.110374,54874.250000,40.194400,43.180100,43.576800,40.592406
x265,4K,FoodMarket2_4k,37,veryslow,0.064220,31927.970000,37.568400,41.564100,41.981900,38.093975
x265,4K,FoodMarket2_4k,22,placebo,0.319398,158794.020000,44.258600,47.903400,47.943900,44.716731
x265,4K,FoodMarket2_4k,27,placebo,0.185617,92282.610000,42.416000,45.381100,45.615300,42.801275
x265,4K,FoodMarket2_4k,32,placebo,0.110258,54816.670000,40.192200,43.182900,43.579900,40.590850
x265,4K,FoodMarket2_4k,37,placebo,0.064278,31956.760000,37.564600,41.566100,41.982800,38.090831
x265,4K,Neon1224_4k,22,ultrafast,0.359183,89286.830000,45.822200,50.103500,49.817400,46.339481
x265,4K,Neon1224_4k,27,ultrafast,0.197080,48990.750000,43.167400,47.581800,47.176600,43.693875
x265,4K,Neon1224_4k,32,ultrafast,0.111090,27615.190000,40.675400,45.202100,44.776900,41.214662
x265,4K,Neon1224_4k,37,ultrafast,0.065994,16404.950000,38.281100,43.164200,42.696000,38.862225
x265,4K,Neon1224_4k,22,superfast,0.340246,84579.310000,46.621600,49.944900,49.732900,47.023762
x265,4K,Neon1224_4k,27,superfast,0.185451,46100.030000,43.823500,47.307200,46.988400,44.239037
x265,4K,Neon1224_4k,32,superfast,0.103702,25778.450000,41.192900,44.831200,44.455100,41.624181
x265,4K,Neon1224_4k,37,superfast,0.061798,15361.880000,38.710300,42.813700,42.376500,39.195900
x265,4K,Neon1224_4k,22,veryfast,0.341561,84906.200000,46.679500,50.085600,49.862800,47.091337
x265,4K,Neon1224_4k,27,veryfast,0.185374,46080.770000,43.888200,47.438100,47.107100,44.311250
x265,4K,Neon1224_4k,32,veryfast,0.103594,25751.770000,41.251600,44.934700,44.554100,41.688200
x265,4K,Neon1224_4k,37,veryfast,0.061503,15288.570000,38.753400,42.868600,42.417900,39.239631
x265,4K,Neon1224_4k,22,faster,0.341561,84906.200000,46.679500,50.085600,49.862800,47.091337
x265,4K,Neon1224_4k,27,faster,0.185374,46080.770000,43.888200,47.438100,47.107100,44.311250
x265,4K,Neon1224_4k,32,faster,0.103594,25751.770000,41.251600,44.934700,44.554100,41.688200
x265,4K,Neon1224_4k,37,faster,0.061503,15288.570000,38.753400,42.868600,42.417900,39.239631
x265,4K,Neon1224_4k,22,fast,0.341563,84906.910000,46.679500,50.085600,49.862800,47.091337
x265,4K,Neon1224_4k,27,fast,0.185376,46081.470000,43.888200,47.438100,47.107100,44.311250
x265,4K,Neon1224_4k,32,fast,0.103597,25752.460000,41.251600,44.934700,44.554100,41.688200
x265,4K,Neon1224_4k,37,fast,0.061506,15289.260000,38.753400,42.868600,42.417900,39.239631
x265,4K,Neon1224_4k,22,medium,0.340888,84738.940000,46.690000,50.094100,49.869600,47.101481
x265,4K,Neon1224_4k,27,medium,0.185227,46044.350000,43.897500,47.431300,47.105900,44.318888
x265,4K,Neon1224_4k,32,medium,0.103250,25666.160000,41.256900,44.936100,44.552900,41.692850
x265,4K,Neon1224_4k,37,medium,0.061449,15275.110000,38.757500,42.871400,42.418900,39.243456
x265,4K,Neon1224_4k,22,slow,0.311475,77427.450000,46.442400,49.886500,49.633100,46.857075
x265,4K,Neon1224_4k,27,slow,0.164383,40862.860000,43.555400,47.149400,46.770200,43.980950
x265,4K,Neon1224_4k,32,slow,0.092303,22945.030000,40.919700,44.511200,44.138400,41.345338
x265,4K,Neon1224_4k,37,slow,0.055007,13673.850000,38.357000,42.500800,41.994200,38.843313
x265,4K,Neon1224_4k,22,slower,0.312091,77580.570000,46.469500,49.882800,49.621700,46.879844
x265,4K,Neon1224_4k,27,slower,0.163803,40718.790000,43.575800,47.152900,46.767700,43.998863
