video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
Boat_2k,22,1,5.3044,3.54,1.499,31.9467,2.997,10.66,21.3380,2.997,7.12
Boat_2k,22,2,5.2442,3.49,1.501,31.9408,3.001,10.64,21.4524,3.001,7.15
Boat_2k,22,3,7.1047,3.55,2.000,19.9902,2.000,10.00,12.8854,2.000,6.44
Boat_2k,22,4,7.1358,3.57,2.000,20.0280,2.000,10.02,12.8922,2.000,6.45
Boat_2k,27,1,4.8045,3.84,1.250,26.7804,2.499,10.71,17.1714,2.499,6.87
Boat_2k,27,2,5.1671,3.45,1.499,31.8178,2.998,10.61,21.4835,2.998,7.17
Boat_2k,27,3,7.1246,3.56,2.001,19.9995,2.001,9.99,12.8748,2.001,6.43
Boat_2k,27,4,6.8668,3.79,1.833,18.3117,1.833,9.99,11.4449,1.833,6.20
Boat_2k,32,1,4.7367,3.79,1.250,26.6210,2.500,10.65,17.1476,2.500,6.86
Boat_2k,32,2,5.1635,3.44,1.500,31.7450,3.000,10.58,21.4180,3.000,7.14
Boat_2k,32,3,6.3926,4.26,1.501,14.9689,1.501,9.97,8.5763,1.501,5.72
Boat_2k,32,4,6.3672,4.24,1.500,14.9478,1.500,9.96,8.5806,1.500,5.72
Boat_2k,37,1,4.7005,3.76,1.250,26.5901,2.500,10.64,17.1891,2.500,6.88
Boat_2k,37,2,5.1289,3.42,1.500,31.7168,3.000,10.57,21.4590,3.000,7.15
Boat_2k,37,3,6.3724,4.25,1.500,14.9539,1.500,9.97,8.5815,1.500,5.72
Boat_2k,37,4,6.3417,4.23,1.500,14.9306,1.500,9.95,8.5888,1.500,5.72
FoodMarket_2k,22,1,4.7347,3.78,1.252,26.6733,2.503,10.66,17.2039,2.503,6.87
FoodMarket_2k,22,2,5.0910,3.39,1.501,31.5947,3.002,10.52,21.4127,3.002,7.13
FoodMarket_2k,22,3,7.1019,3.55,2.000,19.9922,2.000,9.99,12.8903,2.000,6.44
FoodMarket_2k,22,4,6.8418,3.78,1.832,18.2886,1.832,9.98,11.4468,1.832,6.20
FoodMarket_2k,27,1,4.6762,3.74,1.250,26.5096,2.500,10.60,17.1572,2.500,6.86
FoodMarket_2k,27,2,5.0700,3.38,1.500,31.5931,3.001,10.53,21.4532,3.001,7.15
FoodMarket_2k,27,3,6.3778,4.25,1.500,14.9581,1.500,9.97,8.5803,1.500,5.72
FoodMarket_2k,27,4,6.3553,4.24,1.500,14.9308,1.500,9.96,8.5754,1.500,5.72
FoodMarket_2k,32,1,4.7031,3.76,1.250,26.5650,2.500,10.63,17.1588,2.500,6.86
FoodMarket_2k,32,2,5.1213,3.41,1.500,31.6877,2.999,10.56,21.4451,2.999,7.15
FoodMarket_2k,32,3,6.3218,4.21,1.500,14.9013,1.500,9.93,8.5795,1.500,5.72
FoodMarket_2k,32,4,6.3658,4.24,1.500,14.9414,1.500,9.96,8.5756,1.500,5.72
FoodMarket_2k,37,1,4.7333,3.79,1.250,26.6340,2.500,10.65,17.1674,2.500,6.87
FoodMarket_2k,37,2,5.1090,3.41,1.500,31.7180,3.001,10.57,21.5000,3.001,7.16
FoodMarket_2k,37,3,6.3586,4.24,1.500,14.9550,1.500,9.97,8.5964,1.500,5.73
FoodMarket_2k,37,4,6.3796,4.25,1.501,14.9771,1.501,9.98,8.5975,1.501,5.73
MeridianTalk_sdr_2k,22,1,4.6791,3.74,1.250,26.5206,2.501,10.61,17.1623,2.501,6.86
MeridianTalk_sdr_2k,22,2,5.0970,3.39,1.501,31.6573,3.003,10.54,21.4633,3.003,7.15
MeridianTalk_sdr_2k,22,3,6.3589,4.24,1.501,14.9607,1.501,9.97,8.6018,1.501,5.73
MeridianTalk_sdr_2k,22,4,6.3813,4.25,1.500,14.9564,1.500,9.97,8.5751,1.500,5.72
MeridianTalk_sdr_2k,27,1,4.7140,3.77,1.250,26.5952,2.500,10.64,17.1673,2.500,6.87
MeridianTalk_sdr_2k,27,2,5.0636,3.38,1.500,31.5903,3.001,10.53,21.4630,3.001,7.15
MeridianTalk_sdr_2k,27,3,6.3616,4.24,1.500,14.9530,1.500,9.97,8.5914,1.500,5.73
MeridianTalk_sdr_2k,27,4,6.3492,4.23,1.500,14.9368,1.500,9.96,8.5876,1.500,5.72
MeridianTalk_sdr_2k,32,1,4.7450,3.80,1.250,26.6754,2.501,10.67,17.1853,2.501,6.87
MeridianTalk_sdr_2k,32,2,5.1082,3.41,1.500,31.6559,2.999,10.55,21.4395,2.999,7.15
MeridianTalk_sdr_2k,32,3,6.3565,4.24,1.500,14.9503,1.500,9.96,8.5938,1.500,5.73
MeridianTalk_sdr_2k,32,4,6.3348,4.22,1.500,14.9307,1.500,9.95,8.5958,1.500,5.73
MeridianTalk_sdr_2k,37,1,4.7462,3.80,1.250,26.6814,2.500,10.67,17.1890,2.500,6.87
MeridianTalk_sdr_2k,37,2,5.1006,3.40,1.500,31.6955,3.001,10.56,21.4942,3.001,7.16
MeridianTalk_sdr_2k,37,3,6.3462,4.23,1.499,14.9299,1.499,9.96,8.5837,1.499,5.72
MeridianTalk_sdr_2k,37,4,6.3354,4.22,1.500,14.9316,1.500,9.95,8.5962,1.500,5.73
RushFieldCuts_2k,22,1,5.0287,3.35,1.500,31.5780,3.000,10.53,21.5206,3.000,7.17
RushFieldCuts_2k,22,2,5.5029,3.14,1.751,36.8051,3.502,10.51,25.7993,3.502,7.37
