encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,4K,FoodMarket2_4k,37,fast,0.077132,38347.6,37.64151,24.218977,24.767693,35.997988,8.497,5.66,1.501
NVIDIA,4K,FoodMarket2_4k,22,medium,0.404399,201053.84,44.288909,24.182445,24.726868,41.809627,13.9534,1.99,6.999
NVIDIA,4K,FoodMarket2_4k,27,medium,0.225002,111863.38,42.25225,24.193664,24.732061,40.028577,13.1519,2.02,6.498
NVIDIA,4K,FoodMarket2_4k,32,medium,0.12969,64477.73,39.847325,24.20041,24.749525,37.92578,13.1397,2.02,6.499
NVIDIA,4K,FoodMarket2_4k,37,medium,0.077216,38389.32,37.268189,24.20852,24.762755,35.67037,13.1068,2.02,6.501
NVIDIA,4K,FoodMarket2_4k,22,slow,0.404399,201053.84,44.288909,24.182445,24.726868,41.809627,13.9507,1.99,6.998
NVIDIA,4K,FoodMarket2_4k,27,slow,0.225002,111863.38,42.25225,24.193664,24.732061,40.028577,13.2135,2.03,6.501
NVIDIA,4K,FoodMarket2_4k,32,slow,0.12969,64477.73,39.847325,24.20041,24.749525,37.92578,13.2082,2.03,6.501
NVIDIA,4K,FoodMarket2_4k,37,slow,0.077216,38389.32,37.268189,24.20852,24.762755,35.67037,13.2051,2.03,6.5
NVIDIA,4K,Neon1224_4k,22,ultrafast,0.361952,89975.08,46.139798,17.257519,19.549041,42.672733,10.0383,4.01,2.502
NVIDIA,4K,Neon1224_4k,27,ultrafast,0.204746,50896.39,43.415534,17.260032,19.552569,40.28938,8.8293,4.42,1.999
NVIDIA,4K,Neon1224_4k,32,ultrafast,0.116233,28893.61,40.83927,17.267031,19.552777,38.035599,8.9079,4.45,2.0
NVIDIA,4K,Neon1224_4k,37,ultrafast,0.070064,17416.67,38.362055,17.273731,19.553078,35.868474,8.9351,4.47,1.999
NVIDIA,4K,Neon1224_4k,22,fast,0.367578,91373.66,45.810032,17.257362,19.549663,42.384217,8.3653,5.61,1.492
NVIDIA,4K,Neon1224_4k,27,fast,0.205246,51020.65,43.155588,17.260949,19.552965,40.062009,8.4676,5.64,1.501
NVIDIA,4K,Neon1224_4k,32,fast,0.115757,28775.32,40.629941,17.267678,19.552828,37.85248,8.4178,5.61,1.499
NVIDIA,4K,Neon1224_4k,37,fast,0.069294,17225.28,38.175606,17.2724,19.552213,35.705194,8.4935,5.67,1.499
NVIDIA,4K,Neon1224_4k,22,medium,0.348476,86625.32,46.327065,17.255774,19.548336,42.836439,13.2901,1.98,6.7
NVIDIA,4K,Neon1224_4k,27,medium,0.199597,49616.42,43.605065,17.256824,19.550946,40.454918,13.1738,2.03,6.505
NVIDIA,4K,Neon1224_4k,32,medium,0.113019,28094.53,40.882676,17.262783,19.550172,38.073151,12.9522,1.99,6.5
NVIDIA,4K,Neon1224_4k,37,medium,0.067302,16730.21,38.229387,17.267068,19.550249,35.751796,13.1624,2.02,6.505
NVIDIA,4K,Neon1224_4k,22,slow,0.348476,86625.32,46.327065,17.255774,19.548336,42.836439,13.4567,1.99,6.767
NVIDIA,4K,Neon1224_4k,27,slow,0.199597,49616.42,43.605065,17.256824,19.550946,40.454918,12.9711,2.0,6.495
NVIDIA,4K,Neon1224_4k,32,slow,0.113019,28094.53,40.882676,17.262783,19.550172,38.073151,12.957,1.99,6.502
NVIDIA,4K,Neon1224_4k,37,slow,0.067302,16730.21,38.229387,17.267068,19.550249,35.751796,13.1415,2.02,6.498
NVIDIA,4K,NocturneDance_4k,22,ultrafast,0.422767,210395.98,47.034519,17.313467,17.209104,43.312865,10.1659,4.07,2.499
NVIDIA,4K,NocturneDance_4k,27,ultrafast,0.236006,117451.54,44.152558,17.308057,17.213226,40.791068,8.9581,4.48,2.0
NVIDIA,4K,NocturneDance_4k,32,ultrafast,0.128221,63811.07,41.095715,17.29674,17.21591,38.115791,8.9553,4.48,2.001
