video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
DinnerSceneCropped_2k,32,3,6.3178,4.21,1.500,14.9089,1.500,9.94,8.5911,1.500,5.73
DinnerSceneCropped_2k,32,4,6.3318,4.22,1.500,14.9153,1.500,9.94,8.5834,1.500,5.72
DinnerSceneCropped_2k,37,1,2.5186,5.04,0.500,16.1612,1.500,10.77,8.6054,1.500,5.74
DinnerSceneCropped_2k,37,2,3.6539,4.87,0.750,15.9153,1.500,10.61,8.6076,1.500,5.74
DinnerSceneCropped_2k,37,3,6.3172,4.21,1.500,14.9032,1.500,9.93,8.5860,1.500,5.72
DinnerSceneCropped_2k,37,4,6.3107,4.21,1.500,14.8994,1.500,9.93,8.5887,1.500,5.73
Motorcycle_2k,22,1,3.6654,4.89,0.750,15.9152,1.500,10.61,8.5845,1.500,5.72
Motorcycle_2k,22,2,4.1839,4.18,1.000,21.2424,2.000,10.62,12.8747,2.000,6.44
Motorcycle_2k,22,3,7.0444,3.52,2.000,19.9249,2.000,9.96,12.8805,2.000,6.44
Motorcycle_2k,22,4,7.0413,3.52,2.000,19.9298,2.000,9.97,12.8885,2.000,6.44
Motorcycle_2k,27,1,3.7369,4.98,0.750,16.0555,1.500,10.70,8.5818,1.500,5.72
Motorcycle_2k,27,2,3.6527,4.87,0.750,15.8902,1.500,10.59,8.5849,1.500,5.72
Motorcycle_2k,27,3,7.0286,3.51,2.000,19.9051,2.000,9.95,12.8764,2.000,6.44
Motorcycle_2k,27,4,7.0334,3.52,2.000,19.9048,2.000,9.95,12.8713,2.000,6.44
Motorcycle_2k,32,1,3.7575,5.01,0.750,16.0986,1.500,10.73,8.5836,1.500,5.72
Motorcycle_2k,32,2,3.6429,4.86,0.750,15.8674,1.500,10.58,8.5815,1.500,5.72
Motorcycle_2k,32,3,7.0068,3.50,2.000,19.8746,2.000,9.94,12.8678,2.000,6.43
Motorcycle_2k,32,4,7.0281,3.51,2.000,19.9023,2.000,9.95,12.8742,2.000,6.44
Motorcycle_2k,37,1,2.8530,4.28,0.667,21.4464,2.000,10.72,12.8874,2.000,6.44
Motorcycle_2k,37,2,3.6278,4.84,0.750,15.8421,1.500,10.56,8.5864,1.500,5.73
Motorcycle_2k,37,3,6.3268,4.22,1.500,14.9110,1.500,9.94,8.5842,1.500,5.72
Motorcycle_2k,37,4,6.3235,4.21,1.500,14.9067,1.500,9.94,8.5832,1.500,5.72
MountainBike_2k,22,1,3.7067,4.94,0.750,16.0051,1.500,10.67,8.5918,1.500,5.73
MountainBike_2k,22,2,4.2114,4.21,1.000,21.2947,2.000,10.65,12.8719,2.000,6.44
MountainBike_2k,22,3,7.0605,3.53,1.999,19.9367,1.999,9.97,12.8763,1.999,6.44
MountainBike_2k,22,4,7.0496,3.52,2.001,19.9336,2.001,9.96,12.8840,2.001,6.44
MountainBike_2k,27,1,3.7565,5.00,0.752,16.0943,1.504,10.70,8.5813,1.504,5.71
MountainBike_2k,27,2,4.1795,4.18,1.000,21.2401,1.999,10.62,12.8811,1.999,6.44
MountainBike_2k,27,3,7.0134,3.51,1.999,19.8916,1.999,9.95,12.8782,1.999,6.44
MountainBike_2k,27,4,7.0133,3.51,2.000,19.8933,2.000,9.95,12.8800,2.000,6.44
MountainBike_2k,32,1,3.7587,5.02,0.749,16.1047,1.499,10.74,8.5873,1.499,5.73
MountainBike_2k,32,2,3.6374,4.85,0.750,15.8686,1.500,10.58,8.5939,1.500,5.73
MountainBike_2k,32,3,7.0269,3.51,2.000,19.9078,2.000,9.96,12.8809,2.000,6.44
MountainBike_2k,32,4,7.0092,3.51,1.998,19.9039,1.998,9.96,12.8948,1.998,6.45
MountainBike_2k,37,1,2.8751,4.31,0.667,21.5159,2.001,10.75,12.8907,2.001,6.44
MountainBike_2k,37,2,3.6486,4.86,0.751,15.8934,1.501,10.59,8.5963,1.501,5.73
MountainBike_2k,37,3,6.3313,4.22,1.499,14.9124,1.499,9.95,8.5811,1.499,5.72
MountainBike_2k,37,4,6.3253,4.22,1.500,14.9094,1.500,9.94,8.5840,1.500,5.72
OldTownCross_1080p50,22,1,3.6819,4.91,0.750,15.9444,1.499,10.64,8.5805,1.499,5.72
OldTownCross_1080p50,22,2,4.2183,4.22,1.000,21.3284,1.999,10.67,12.8918,1.999,6.45
OldTownCross_1080p50,22,3,7.0878,3.55,1.999,19.9844,1.999,10.00,12.8966,1.999,6.45
OldTownCross_1080p50,22,4,7.1144,3.56,2.000,20.0028,2.000,10.00,12.8883,2.000,6.44
OldTownCross_1080p50,27,1,2.8813,4.32,0.667,21.5330,2.000,10.76,12.8893,2.000,6.44
OldTownCross_1080p50,27,2,3.6580,4.88,0.750,15.9143,1.501,10.61,8.5982,1.501,5.73
OldTownCross_1080p50,27,3,6.7259,3.86,1.767,17.6262,1.767,9.98,10.9003,1.767,6.12
OldTownCross_1080p50,27,4,6.6962,3.91,1.733,17.2816,1.733,9.97,10.5854,1.733,6.06
OldTownCross_1080p50,32,1,2.8857,4.33,0.666,21.5289,1.999,10.77,12.8718,1.999,6.44
OldTownCross_1080p50,32,2,3.6373,4.85,0.750,15.8614,1.501,10.57,8.5868,1.501,5.72
OldTownCross_1080p50,32,3,6.3274,4.22,1.500,14.9081,1.500,9.94,8.5808,1.500,5.72
OldTownCross_1080p50,32,4,6.3207,4.21,1.500,14.9146,1.500,9.94,8.5939,1.500,5.73
OldTownCross_1080p50,37,1,2.8955,4.34,0.667,21.5702,2.000,10.79,12.8837,2.000,6.44
OldTownCross_1080p50,37,2,3.6474,4.86,0.750,15.8798,1.500,10.59,8.5850,1.500,5.72
OldTownCross_1080p50,37,3,6.3395,4.23,1.500,14.9248,1.500,9.95,8.5853,1.500,5.72
OldTownCross_1080p50,37,4,6.3377,4.23,1.500,14.9146,1.500,9.94,8.5770,1.500,5.72
PedestrianArea_1080p25,22,1,2.8383,4.26,0.666,21.4123,1.999,10.71,12.8974,1.999,6.45
PedestrianArea_1080p25,22,2,3.6276,4.83,0.751,15.8589,1.503,10.55,8.6037,1.503,5.73
PedestrianArea_1080p25,22,3,6.3194,4.21,1.500,14.9221,1.500,9.95,8.6027,1.500,5.73
