video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
BlueSky_360p,22,1,0.8710,4.64,0.188,15.5629,1.501,10.37,8.5949,1.501,5.73
BlueSky_360p,22,2,0.8724,4.65,0.188,15.5649,1.500,10.38,8.5856,1.500,5.72
BlueSky_360p,22,3,1.2862,4.29,0.300,15.0177,1.499,10.02,8.5865,1.499,5.73
BlueSky_360p,22,4,1.2855,4.28,0.300,15.0189,1.500,10.01,8.5915,1.500,5.73
BlueSky_360p,27,1,0.8576,4.57,0.187,15.4552,1.500,10.30,8.5944,1.500,5.73
BlueSky_360p,27,2,0.9994,6.00,0.167,10.3060,1.000,10.30,4.3093,1.000,4.31
BlueSky_360p,27,3,1.2810,4.27,0.300,15.0221,1.499,10.02,8.6172,1.499,5.75
BlueSky_360p,27,4,1.2763,4.26,0.300,15.0055,1.500,10.01,8.6240,1.500,5.75
BlueSky_360p,32,1,0.8477,4.52,0.188,15.4192,1.500,10.28,8.6376,1.500,5.76
BlueSky_360p,32,2,0.8566,4.57,0.188,15.4690,1.500,10.31,8.6162,1.500,5.74
BlueSky_360p,32,3,1.0639,4.26,0.250,14.9863,1.500,9.99,8.6029,1.500,5.73
BlueSky_360p,32,4,1.2766,4.25,0.300,14.9935,1.500,9.99,8.6103,1.500,5.74
BlueSky_360p,37,1,0.7518,4.51,0.167,15.3644,1.500,10.24,8.5985,1.500,5.73
BlueSky_360p,37,2,0.8582,4.58,0.187,15.4788,1.500,10.32,8.6133,1.500,5.74
BlueSky_360p,37,3,1.2745,4.25,0.300,15.0005,1.500,10.00,8.6279,1.500,5.75
BlueSky_360p,37,4,1.2744,4.25,0.300,15.0079,1.500,10.00,8.6359,1.500,5.76
RedKayak_360p,22,1,0.8688,4.63,0.187,15.5791,1.500,10.39,8.6285,1.500,5.75
RedKayak_360p,22,2,1.0016,6.01,0.167,10.3217,1.000,10.33,4.3122,1.000,4.31
RedKayak_360p,22,3,1.2846,4.28,0.300,15.0351,1.500,10.02,8.6119,1.500,5.74
RedKayak_360p,22,4,1.2856,4.29,0.300,15.0389,1.500,10.03,8.6108,1.500,5.74
RedKayak_360p,27,1,0.7689,4.61,0.167,15.5483,1.500,10.36,8.6278,1.500,5.75
RedKayak_360p,27,2,1.0007,6.00,0.167,10.3174,1.000,10.31,4.3133,1.000,4.31
RedKayak_360p,27,3,1.2849,4.28,0.300,15.0404,1.500,10.03,8.6158,1.500,5.74
RedKayak_360p,27,4,1.2861,4.29,0.300,15.0472,1.500,10.03,8.6167,1.500,5.74
RedKayak_360p,32,1,0.7557,4.53,0.167,15.4260,1.500,10.28,8.6243,1.500,5.75
RedKayak_360p,32,2,0.9958,5.97,0.167,10.2851,1.000,10.28,4.3101,1.000,4.31
RedKayak_360p,32,3,1.2820,4.27,0.300,15.0266,1.501,10.01,8.6165,1.501,5.74
RedKayak_360p,32,4,1.2826,4.27,0.300,15.0229,1.500,10.01,8.6101,1.500,5.74
RedKayak_360p,37,1,0.7595,4.56,0.167,15.4564,1.500,10.30,8.6212,1.500,5.75
RedKayak_360p,37,2,0.7658,4.59,0.167,15.5149,1.500,10.34,8.6223,1.500,5.75
RedKayak_360p,37,3,1.0658,4.26,0.250,15.0125,1.501,10.00,8.6174,1.501,5.74
RedKayak_360p,37,4,1.2779,4.26,0.300,15.0151,1.500,10.01,8.6254,1.500,5.75
SnowMountain_360p,22,1,0.9960,5.98,0.167,10.2858,1.000,10.29,4.3101,1.000,4.31
SnowMountain_360p,22,2,1.0023,6.01,0.167,10.3248,1.000,10.32,4.3111,1.000,4.31
SnowMountain_360p,22,3,1.2895,4.30,0.300,15.0631,1.500,10.04,8.6156,1.500,5.75
SnowMountain_360p,22,4,1.4291,5.72,0.250,10.0220,1.000,10.02,4.3055,1.000,4.31
