video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
ControlledBurn_720p,22,1,1.8146,4.84,0.375,15.8113,1.499,10.55,8.5530,1.499,5.70
ControlledBurn_720p,22,2,2.0253,4.05,0.500,21.0057,2.000,10.50,12.9046,2.000,6.45
ControlledBurn_720p,22,3,3.1831,4.25,0.750,14.9528,1.499,9.97,8.5865,1.499,5.73
ControlledBurn_720p,22,4,3.2025,4.27,0.750,14.9860,1.501,9.99,8.5809,1.501,5.72
ControlledBurn_720p,27,1,1.8276,4.87,0.375,15.9144,1.500,10.61,8.6041,1.500,5.73
ControlledBurn_720p,27,2,1.7970,4.79,0.375,15.7906,1.500,10.52,8.6028,1.500,5.73
ControlledBurn_720p,27,3,3.1695,4.23,0.750,14.9508,1.500,9.97,8.6117,1.500,5.74
ControlledBurn_720p,27,4,3.1786,4.24,0.750,14.9623,1.501,9.97,8.6051,1.501,5.73
ControlledBurn_720p,32,1,1.4643,4.88,0.300,15.9313,1.500,10.62,8.6097,1.500,5.74
ControlledBurn_720p,32,2,1.7859,4.76,0.375,15.7485,1.500,10.50,8.6049,1.500,5.74
ControlledBurn_720p,32,3,3.1595,4.21,0.750,14.9328,1.500,9.96,8.6138,1.500,5.74
ControlledBurn_720p,32,4,3.1626,4.22,0.750,14.9253,1.500,9.95,8.6002,1.500,5.73
ControlledBurn_720p,37,1,1.8401,4.90,0.375,15.9676,1.501,10.64,8.6071,1.501,5.73
ControlledBurn_720p,37,2,1.7809,4.75,0.375,15.7315,1.500,10.49,8.6077,1.500,5.74
ControlledBurn_720p,37,3,3.1502,4.20,0.750,14.9273,1.500,9.95,8.6269,1.500,5.75
ControlledBurn_720p,37,4,3.1473,4.20,0.750,14.9140,1.500,9.95,8.6194,1.500,5.75
DrivingPOV_720p,22,1,1.8125,4.83,0.375,15.8673,1.500,10.58,8.6172,1.500,5.75
DrivingPOV_720p,22,2,2.3838,4.77,0.500,15.7875,1.499,10.53,8.6359,1.499,5.76
DrivingPOV_720p,22,3,3.5421,3.54,1.000,19.9906,2.000,10.00,12.9064,2.000,6.45
DrivingPOV_720p,22,4,3.5269,3.53,1.000,19.9802,1.999,9.99,12.9263,1.999,6.47
DrivingPOV_720p,27,1,1.8164,4.85,0.375,15.8822,1.499,10.59,8.6168,1.499,5.75
DrivingPOV_720p,27,2,2.3665,4.73,0.500,15.7092,1.501,10.47,8.6097,1.501,5.74
DrivingPOV_720p,27,3,3.3192,3.88,0.866,17.2530,1.732,9.96,10.6146,1.732,6.08
DrivingPOV_720p,27,4,3.4180,3.70,0.933,18.5877,1.867,9.96,11.7517,1.867,6.26
DrivingPOV_720p,32,1,1.7956,4.79,0.375,15.7903,1.500,10.53,8.6078,1.500,5.74
DrivingPOV_720p,32,2,1.9956,4.00,0.499,20.8787,1.997,10.46,12.8963,1.997,6.46
DrivingPOV_720p,32,3,3.1451,4.19,0.750,14.9013,1.500,9.93,8.6110,1.500,5.74
DrivingPOV_720p,32,4,3.1506,4.20,0.750,14.9113,1.500,9.94,8.6100,1.500,5.74
DrivingPOV_720p,37,1,1.6616,4.15,0.400,21.1742,2.000,10.59,12.8661,2.000,6.43
DrivingPOV_720p,37,2,1.7623,4.70,0.375,15.6535,1.500,10.43,8.6044,1.500,5.74
DrivingPOV_720p,37,3,3.1477,4.20,0.750,14.8991,1.500,9.94,8.6037,1.500,5.74
DrivingPOV_720p,37,4,3.1455,4.19,0.750,14.9081,1.501,9.94,8.6171,1.501,5.74
Johnny_720p,22,1,1.8017,4.81,0.375,15.8161,1.500,10.54,8.6092,1.500,5.74
Johnny_720p,22,2,1.7649,4.71,0.375,15.6609,1.500,10.44,8.6015,1.500,5.73
Johnny_720p,22,3,3.1591,4.21,0.750,14.9164,1.500,9.95,8.5982,1.500,5.73
Johnny_720p,22,4,3.1656,4.22,0.750,14.9286,1.500,9.95,8.5974,1.500,5.73
Johnny_720p,27,1,1.8093,4.82,0.375,15.8517,1.500,10.57,8.6146,1.500,5.74
Johnny_720p,27,2,1.7690,4.72,0.375,15.7041,1.500,10.47,8.6281,1.500,5.75
Johnny_720p,27,3,3.1471,4.20,0.750,14.9189,1.500,9.95,8.6246,1.500,5.75
Johnny_720p,27,4,3.1385,4.18,0.750,14.9030,1.500,9.93,8.6260,1.500,5.75
Johnny_720p,32,1,1.8209,4.86,0.375,15.8853,1.500,10.59,8.6016,1.500,5.73
Johnny_720p,32,2,1.7629,4.70,0.375,15.6692,1.500,10.45,8.6174,1.500,5.75
Johnny_720p,32,3,3.1530,4.20,0.750,14.9167,1.500,9.94,8.6107,1.500,5.74
Johnny_720p,32,4,3.1739,4.23,0.750,14.9371,1.500,9.96,8.5892,1.500,5.73
Johnny_720p,37,1,1.4592,4.86,0.300,15.8869,1.500,10.59,8.5908,1.500,5.73
Johnny_720p,37,2,1.7622,4.70,0.375,15.6404,1.500,10.43,8.5914,1.500,5.73
Johnny_720p,37,3,3.1484,4.20,0.750,14.8817,1.500,9.92,8.5849,1.500,5.72
Johnny_720p,37,4,3.1434,4.19,0.750,14.8738,1.500,9.92,8.5871,1.500,5.72
KristenAndSara_720p,22,1,1.6450,4.12,0.399,21.1135,1.996,10.58,12.8882,1.996,6.46
KristenAndSara_720p,22,2,2.3565,4.71,0.500,15.6315,1.500,10.42,8.5619,1.500,5.71
KristenAndSara_720p,22,3,3.1505,4.20,0.750,14.8936,1.500,9.93,8.5927,1.500,5.73
KristenAndSara_720p,22,4,3.1481,4.20,0.750,14.8945,1.500,9.93,8.5982,1.500,5.73
KristenAndSara_720p,27,1,1.8106,4.83,0.375,15.8331,1.500,10.55,8.5906,1.500,5.73
KristenAndSara_720p,27,2,1.7618,4.70,0.375,15.6447,1.499,10.44,8.5976,1.499,5.74
KristenAndSara_720p,27,3,3.1489,4.20,0.750,14.8836,1.499,9.93,8.5859,1.499,5.73
KristenAndSara_720p,27,4,3.1550,4.21,0.750,14.8846,1.500,9.93,8.5746,1.500,5.72
KristenAndSara_720p,32,1,1.8057,4.82,0.375,15.7946,1.500,10.53,8.5717,1.500,5.72
KristenAndSara_720p,32,2,1.7722,4.73,0.375,15.6687,1.500,10.45,8.5800,1.500,5.72
