video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
TimeLapse_4k,22,4,14.0860,2.01,7.001,69.9666,7.001,9.99,55.8806,7.001,7.98
TimeLapse_4k,27,1,9.0096,4.50,2.000,21.9196,2.000,10.96,12.9100,2.000,6.45
TimeLapse_4k,27,2,8.5529,5.70,1.499,17.1925,1.499,11.47,8.6397,1.499,5.76
TimeLapse_4k,27,3,13.2316,2.04,6.494,64.8536,6.494,9.99,51.6221,6.494,7.95
TimeLapse_4k,27,4,13.4118,2.06,6.502,64.9380,6.502,9.99,51.5262,6.502,7.93
TimeLapse_4k,32,1,9.0383,4.52,2.000,21.9262,2.000,10.96,12.8879,2.000,6.44
TimeLapse_4k,32,2,8.5992,5.73,1.500,17.1958,1.500,11.46,8.5965,1.500,5.73
TimeLapse_4k,32,3,13.3854,2.06,6.503,64.8820,6.503,9.98,51.4966,6.503,7.92
TimeLapse_4k,32,4,13.4036,2.06,6.500,64.9109,6.500,9.99,51.5073,6.500,7.92
TimeLapse_4k,37,1,9.0942,4.55,2.000,21.9887,2.000,10.99,12.8945,2.000,6.45
TimeLapse_4k,37,2,8.6478,5.77,1.500,17.2437,1.500,11.50,8.5959,1.500,5.73
TimeLapse_4k,37,3,13.2662,2.04,6.502,64.8770,6.502,9.98,51.6109,6.502,7.94
TimeLapse_4k,37,4,13.2327,1.75,11.500,107.9255,11.500,9.79,94.6929,11.500,8.04
