video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
NocturneDance_4k,22,slow,207451.54,46.847611,17.310698,17.208358
NocturneDance_4k,27,slow,116087.26,43.914243,17.304426,17.21248
NocturneDance_4k,32,slow,63213.82,40.731228,17.292115,17.215256
NocturneDance_4k,37,slow,33072.37,37.713784,17.291409,17.21725
PierSeaSide_4k,22,ultrafast,67510.83,45.675685,20.609724,23.852555
PierSeaSide_4k,27,ultrafast,35947.46,43.966494,20.603318,23.886642
PierSeaSide_4k,32,ultrafast,20643.35,41.882717,20.611167,23.882002
PierSeaSide_4k,37,ultrafast,12219.47,39.494765,20.610295,23.885841
PierSeaSide_4k,22,fast,67024.96,45.670284,20.610064,23.85416
PierSeaSide_4k,27,fast,35610.87,43.950741,20.603388,23.890717
PierSeaSide_4k,32,fast,20358.8,41.848595,20.610219,23.885549
PierSeaSide_4k,37,fast,12009.47,39.477794,20.610696,23.884255
PierSeaSide_4k,22,medium,65682.29,45.677406,20.608826,23.845474
PierSeaSide_4k,27,medium,34892.8,43.927957,20.603281,23.876649
PierSeaSide_4k,32,medium,20068.66,41.739281,20.609716,23.870002
PierSeaSide_4k,37,medium,11934.88,39.267171,20.60963,23.869611
PierSeaSide_4k,22,slow,65682.29,45.677406,20.608826,23.845474
PierSeaSide_4k,27,slow,34892.8,43.927957,20.603281,23.876649
PierSeaSide_4k,32,slow,20068.66,41.739281,20.609716,23.870002
PierSeaSide_4k,37,slow,11934.88,39.267171,20.60963,23.869611
Tango_4k,22,ultrafast,212925.41,41.788772,23.846058,21.01906
Tango_4k,27,ultrafast,71841.44,40.221451,23.855116,21.013639
Tango_4k,32,ultrafast,34807.75,39.215221,23.864952,21.019859
Tango_4k,37,ultrafast,20670.35,37.970735,23.871454,21.023045
Tango_4k,22,fast,213485.79,41.826298,23.847239,21.01849
Tango_4k,27,fast,69655.82,40.224768,23.857521,21.012735
Tango_4k,32,fast,33825.71,39.234688,23.864847,21.018815
Tango_4k,37,fast,20061.71,38.007389,23.870583,21.024895
Tango_4k,22,medium,213578.9,41.844766,23.845235,21.01737
Tango_4k,27,medium,69497.13,40.1952,23.8529,21.012624
Tango_4k,32,medium,33606.23,39.114996,23.860293,21.018633
Tango_4k,37,medium,19966.87,37.810385,23.865913,21.023567
Tango_4k,22,slow,213578.9,41.844766,23.845235,21.01737
Tango_4k,27,slow,69497.13,40.1952,23.8529,21.012624
Tango_4k,32,slow,33606.23,39.114996,23.860293,21.018633
Tango_4k,37,slow,19966.87,37.810385,23.865913,21.023567
TimeLapse_4k,22,ultrafast,254005.39,44.080308,28.435817,27.863
TimeLapse_4k,27,ultrafast,140020.2,41.506144,28.4544,27.883025
TimeLapse_4k,32,ultrafast,77439.92,38.851122,28.459782,27.910414
TimeLapse_4k,37,ultrafast,41885.38,36.202163,28.461968,27.940433
TimeLapse_4k,22,fast,252907.78,44.042047,28.440053,27.865455
TimeLapse_4k,27,fast,139109.47,41.479581,28.461017,27.888625
TimeLapse_4k,32,fast,76505.51,38.807937,28.462167,27.91512
TimeLapse_4k,37,fast,41064.41,36.172007,28.461153,27.941164
TimeLapse_4k,22,medium,250358.84,44.113595,28.434043,27.85346
TimeLapse_4k,27,medium,137125.9,41.480223,28.448756,27.872214
TimeLapse_4k,32,medium,75502.55,38.728668,28.453972,27.898378
TimeLapse_4k,37,medium,40767.79,36.014248,28.452145,27.923431
TimeLapse_4k,22,slow,250358.84,44.113595,28.434043,27.85346
TimeLapse_4k,27,slow,137125.9,41.480223,28.448756,27.872214
TimeLapse_4k,32,slow,75502.55,38.728668,28.453972,27.898378
TimeLapse_4k,37,slow,40767.79,36.014248,28.452145,27.923431
Boat_2k,22,ultrafast,199929.0,41.785839,22.643844,22.465405
Boat_2k,27,ultrafast,125600.88,38.030513,22.658992,22.48799
Boat_2k,32,ultrafast,75245.59,34.383362,22.685268,22.510139
Boat_2k,37,ultrafast,43229.35,31.065388,22.722034,22.540804
Boat_2k,22,fast,199175.56,41.830529,22.644407,22.464702
Boat_2k,27,fast,124948.11,38.077217,22.659423,22.487198
Boat_2k,32,fast,74730.25,34.444783,22.687409,22.5078
Boat_2k,37,fast,42885.93,31.139909,22.715482,22.534314
Boat_2k,22,medium,200336.78,41.906253,22.635985,22.455362
Boat_2k,27,medium,126372.96,38.125252,22.646629,22.469668
Boat_2k,32,medium,75648.56,34.430618,22.67328,22.491272
Boat_2k,37,medium,43184.45,31.037965,22.703744,22.516401
Boat_2k,22,slow,200336.78,41.906253,22.635985,22.455362
Boat_2k,27,slow,126372.96,38.125252,22.646629,22.469668
Boat_2k,32,slow,75648.56,34.430618,22.67328,22.491272
Boat_2k,37,slow,43184.45,31.037965,22.703744,22.516401
FoodMarket_2k,22,ultrafast,101650.72,41.375927,27.097054,28.32799
FoodMarket_2k,27,ultrafast,45537.63,38.940337,27.132194,28.36031
FoodMarket_2k,32,ultrafast,22944.9,36.878321,27.178469,28.394369
FoodMarket_2k,37,ultrafast,11862.22,34.754288,27.212935,28.402995
FoodMarket_2k,22,fast,101026.7,41.408037,27.094868,28.329202
FoodMarket_2k,27,fast,45063.85,38.982716,27.129142,28.360598
FoodMarket_2k,32,fast,22625.44,36.944231,27.177773,28.390734
FoodMarket_2k,37,fast,11658.57,34.835674,27.215035,28.400506
FoodMarket_2k,22,medium,101276.16,41.443303,27.082642,28.318275
FoodMarket_2k,27,medium,44823.37,38.94646,27.113748,28.349791
FoodMarket_2k,32,medium,22441.46,36.79088,27.15644,28.376851
FoodMarket_2k,37,medium,11587.77,34.611828,27.19311,28.387806
FoodMarket_2k,22,slow,101276.16,41.443303,27.082642,28.318275
FoodMarket_2k,27,slow,44823.37,38.94646,27.113748,28.349791
FoodMarket_2k,32,slow,22441.46,36.79088,27.15644,28.376851
FoodMarket_2k,37,slow,11587.77,34.611828,27.19311,28.387806
MeridianTalk_sdr_2k,22,ultrafast,42353.68,43.035567,28.07851,26.879904
MeridianTalk_sdr_2k,27,ultrafast,17265.45,41.524167,28.111363,26.897078
