config,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw,Bc,Bcm,Bi,Bim
default,0.6799222328233024,0.6876524420548331,0.6935715677152732,0.7081414822970665,0.7683691128532653,0.7339574480395998,1.0447678398043243,0.9225368184534097,0.8020246909808098,0.675950112529474,0.671524158955041,0.7079473966005093,0.7403972999002728
dis_filter,0.6613257293244257,0.670207161814366,0.6790918099836893,0.6714480568832976,0.7620616690824084,0.7154126791973353,1.046588812447371,0.9405200956954899,0.7785254564856328,0.6630788368886518,0.6590775949116371,0.692489661614312,0.7244437103909275
hw-like,0.6284852263264519,0.6381115332360742,0.6445810490537532,0.6687244963551406,0.7378315313425623,0.6995034688242344,1.0098271470474942,0.8428933477856223,0.7802604858970398,0.630163469409456,0.6202974434488251,0.666839293576333,0.7054934902420729
