config,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw,Bc,Bcm,Bi,Bim
default,1589988716579.3513,424854165205.5366,198615743751.48276,11552739852.678879,3668461511.4288793,2942325961.8922415,820110.6056034482,109246966.73922414,131647450.23275863,101533304486.72198,8591005929.133621,10588705769.032328,1104615419.9310346
dis_filter,1544140648706.8965,412646780172.4138,192489860432.63147,11436993276.25,3443008727.0409484,2855272556.6875,654988.1681034482,60856830.56896552,126338140.83405173,98872875495.65086,8534351578.7047415,10371979572.644396,1075660174.487069
hw-like,1580021551724.138,421566810344.8276,196088964772.54956,12007246742.881466,3555169478.7327585,2868370118.823276,768704.1314655172,108052195.89655173,114774066.9612069,99161497942.5431,8348943192.4375,10331097400.536638,1077915206.752155
