config,MPI (D1m_total / Ir),Branch_Density (Bc / Ir),Branch_Miss_Rate (Bcm / Bc)
default,0.0041577574761306165,0.06385787737233592,0.08461268913253099
dis_filter,0.004078826167164755,0.06403100363846362,0.08631640918626002
hw-like,0.004065475936417825,0.06275958567421876,0.08419541218785447
