config,model,r2,rmse,mape_like
default,Linear,0.9478481835916103,0.6708972641824554,0.04471023233459781
default,XGBoost,0.9525135019381746,0.6401862955103129,0.02722359454259058
hw-like,Linear,0.9127160332923238,0.8679376717661135,0.05357630592903118
hw-like,XGBoost,0.9292134042926853,0.7816220716439045,0.028975849871806673
dis_filter,Linear,0.843152878102576,1.1634817574795702,0.06044536165124666
dis_filter,XGBoost,0.826820407438825,1.2225585241797148,0.03964539059002745
