preset,default_linear,default_xgb,hw-like_linear,hw-like_xgb,dis_filter_linear,dis_filter_xgb
fast,0.04674701071280625,0.0264632080800098,0.0509423468582007,0.03047827335393855,0.059290821826890175,0.039436224253716116
faster,0.045916311746465724,0.026061247125558594,0.047801845052965,0.02470984724084851,0.05957002588631502,0.040059155948052136
superfast,0.041016454889944605,0.03183859655722878,0.05897493009087284,0.028070846640457035,0.06367306640571505,0.039694898349790744
veryfast,0.04516115198917466,0.024531326407565168,0.056586101714086165,0.032644432251982596,0.05924753248606637,0.03939128380855084
