video_name,qp,preset,stable_core_energy_joules,iterations_needed
ControlledBurn_720p,32,ultrafast,62.17753460000001,15
ControlledBurn_720p,32,veryfast,236.25649153333336,15
ControlledBurn_720p,32,veryslow,550.9452812666666,15
ControlledBurn_720p,37,fast,209.7275963333333,15
ControlledBurn_720p,37,faster,211.15201073333338,15
ControlledBurn_720p,37,medium,220.20725679999995,15
ControlledBurn_720p,37,placebo,529.7257314000001,15
ControlledBurn_720p,37,slow,354.39183793333325,15
ControlledBurn_720p,37,slower,453.7921287333334,15
ControlledBurn_720p,37,superfast,200.35904933333333,15
ControlledBurn_720p,37,ultrafast,57.82220713333333,15
ControlledBurn_720p,37,veryfast,208.983189,15
ControlledBurn_720p,37,veryslow,453.2623203333334,15
SnowMountain_360p,22,fast,84.01170306666664,15
SnowMountain_360p,22,faster,84.78895526666666,15
SnowMountain_360p,22,medium,90.34439760000001,15
SnowMountain_360p,22,placebo,334.3710472666667,15
SnowMountain_360p,22,slow,194.7424416666667,15
SnowMountain_360p,22,slower,254.9720686,15
SnowMountain_360p,22,superfast,79.1817432,15
SnowMountain_360p,22,ultrafast,23.422840333333333,15
SnowMountain_360p,22,veryfast,85.15419693333334,15
SnowMountain_360p,22,veryslow,254.23838726666665,15
SnowMountain_360p,27,fast,76.40884160000002,15
SnowMountain_360p,27,faster,77.2125302,15
SnowMountain_360p,27,medium,82.5865968,15
SnowMountain_360p,27,placebo,281.60664406666666,15
SnowMountain_360p,27,slow,169.08471933333334,15
SnowMountain_360p,27,slower,222.17876059999995,15
SnowMountain_360p,27,superfast,72.09628360000002,15
SnowMountain_360p,27,ultrafast,20.38564533333333,15
SnowMountain_360p,27,veryfast,77.48824566666666,15
SnowMountain_360p,27,veryslow,221.7032288,15
SnowMountain_360p,32,fast,69.26006833333334,15
SnowMountain_360p,32,faster,69.03606199999999,15
SnowMountain_360p,32,medium,73.3655022,15
SnowMountain_360p,32,placebo,239.10429506666665,15
SnowMountain_360p,32,slow,144.43780973333332,15
SnowMountain_360p,32,slower,188.31162313333328,15
SnowMountain_360p,32,superfast,64.3787986,15
SnowMountain_360p,32,ultrafast,18.392787266666666,15
SnowMountain_360p,32,veryfast,68.77279766666668,15
SnowMountain_360p,32,veryslow,188.10260286666664,15
SnowMountain_360p,37,fast,60.29268826666666,15
SnowMountain_360p,37,faster,60.40798733333333,15
SnowMountain_360p,37,medium,64.30932833333333,15
SnowMountain_360p,37,placebo,191.8454073333333,15
SnowMountain_360p,37,slow,117.33081146666667,15
SnowMountain_360p,37,slower,152.84598319999998,15
SnowMountain_360p,37,superfast,57.465372066666674,15
SnowMountain_360p,37,ultrafast,15.948653,15
SnowMountain_360p,37,veryfast,60.7659292,15
SnowMountain_360p,37,veryslow,153.7142874,15
