Intra_Chroma_Mode,fast,faster,medium,superfast,ultrafast,veryfast
Intra chroma modes: Diag,964889,964886,998373,947634,452497,964887
Intra chroma modes: LM,0,0,0,0,0,0
Intra chroma modes: DM,59213222,59213196,59232998,57965593,23386929,59213253
Intra chroma modes: DC,3045592,3045586,3048504,3014635,2130141,3045581
Intra chroma modes: Planar,4741698,4741690,4772800,4710428,2917677,4741683
Intra chroma modes: Horiz,3185782,3185782,3246062,3153867,1632927,3185784
Intra chroma modes: Vert,2492985,2492980,2526760,2476541,1401998,2492980
