Intra_Chroma_Mode,slow,medium,fast,ultrafast
Intra chroma modes: Diag,1375947,1375948,746737,894893
Intra chroma modes: LM,0,0,0,0
Intra chroma modes: DM,40596383,40596400,18055946,18572596
Intra chroma modes: DC,5358624,5358625,3525118,3537626
Intra chroma modes: Planar,7508026,7508027,4053146,4025012
Intra chroma modes: Horiz,6220530,6220531,3487640,3624231
Intra chroma modes: Vert,5063025,5063025,2950285,3031220
