video_name,qp,preset,bitrate_kbps,psnr_y
BoxingPractice_4k,37,slow,24824.37,37.6241
BoxingPractice_4k,22,slower,149625.91,42.9519
BoxingPractice_4k,27,slower,73406.86,41.3481
BoxingPractice_4k,32,slower,42207.66,39.7337
BoxingPractice_4k,37,slower,24753.57,37.6441
BoxingPractice_4k,22,veryslow,149627.31,42.9519
BoxingPractice_4k,27,veryslow,73408.27,41.3481
BoxingPractice_4k,32,veryslow,42209.07,39.7337
BoxingPractice_4k,37,veryslow,24754.98,37.6441
BoxingPractice_4k,22,placebo,149888.33,42.9530
BoxingPractice_4k,27,placebo,73543.27,41.3505
BoxingPractice_4k,32,placebo,42276.10,39.7332
BoxingPractice_4k,37,placebo,24822.48,37.6400
SnowMountain_360p,22,ultrafast,14875.38,41.7134
SnowMountain_360p,27,ultrafast,10733.71,37.1398
SnowMountain_360p,32,ultrafast,7168.10,32.6231
SnowMountain_360p,37,ultrafast,4341.88,28.6245
SnowMountain_360p,22,superfast,13859.91,42.7366
SnowMountain_360p,27,superfast,10013.58,38.0492
SnowMountain_360p,32,superfast,6796.67,33.4814
SnowMountain_360p,37,superfast,4192.94,29.3099
SnowMountain_360p,22,veryfast,13836.02,42.7877
SnowMountain_360p,27,veryfast,10035.16,38.1440
SnowMountain_360p,32,veryfast,6779.97,33.6139
SnowMountain_360p,37,veryfast,4205.00,29.4826
SnowMountain_360p,22,faster,13836.02,42.7877
SnowMountain_360p,27,faster,10035.16,38.1440
SnowMountain_360p,32,faster,6779.97,33.6139
SnowMountain_360p,37,faster,4205.00,29.4826
SnowMountain_360p,22,fast,13836.71,42.7877
SnowMountain_360p,27,fast,10035.86,38.1440
SnowMountain_360p,32,fast,6780.66,33.6139
SnowMountain_360p,37,fast,4205.70,29.4826
SnowMountain_360p,22,medium,13835.55,42.8245
SnowMountain_360p,27,medium,10050.94,38.1760
SnowMountain_360p,32,medium,6782.06,33.6384
SnowMountain_360p,37,medium,4194.79,29.4978
SnowMountain_360p,22,slow,13522.35,42.8731
SnowMountain_360p,27,slow,9756.53,38.1362
SnowMountain_360p,32,slow,6508.99,33.4562
SnowMountain_360p,37,slow,3873.47,29.0949
SnowMountain_360p,22,slower,13525.14,42.8884
SnowMountain_360p,27,slower,9752.35,38.1517
SnowMountain_360p,32,slower,6510.38,33.4742
SnowMountain_360p,37,slower,3883.68,29.1041
SnowMountain_360p,22,veryslow,13525.83,42.8884
SnowMountain_360p,27,veryslow,9753.05,38.1517
SnowMountain_360p,32,veryslow,6511.08,33.4742
SnowMountain_360p,37,veryslow,3884.38,29.1041
SnowMountain_360p,22,placebo,13562.26,42.9394
SnowMountain_360p,27,placebo,9748.18,38.1931
SnowMountain_360p,32,placebo,6513.40,33.5134
SnowMountain_360p,37,placebo,3886.00,29.1354
SparksElevator_270p,22,ultrafast,12692.55,40.7982
SparksElevator_270p,27,ultrafast,7724.28,36.9383
SparksElevator_270p,32,ultrafast,4534.50,33.5776
SparksElevator_270p,37,ultrafast,2825.86,30.7827
SparksElevator_270p,22,superfast,11836.82,41.4518
SparksElevator_270p,27,superfast,7288.15,37.5179
SparksElevator_270p,32,superfast,4370.25,34.1030
SparksElevator_270p,37,superfast,2773.47,31.2055
SparksElevator_270p,22,veryfast,11809.44,41.4799
SparksElevator_270p,27,veryfast,7283.90,37.5811
SparksElevator_270p,32,veryfast,4386.30,34.1771
SparksElevator_270p,37,veryfast,2792.82,31.2672
SparksElevator_270p,22,faster,11809.44,41.4799
SparksElevator_270p,27,faster,7283.90,37.5811
SparksElevator_270p,32,faster,4386.30,34.1771
SparksElevator_270p,37,faster,2792.82,31.2672
SparksElevator_270p,22,fast,11810.86,41.4799
SparksElevator_270p,27,fast,7285.32,37.5811
SparksElevator_270p,32,fast,4387.71,34.1771
SparksElevator_270p,37,fast,2794.24,31.2672
SparksElevator_270p,22,medium,11831.15,41.4927
SparksElevator_270p,27,medium,7279.66,37.5874
SparksElevator_270p,32,medium,4374.50,34.1811
SparksElevator_270p,37,medium,2779.14,31.2706
SparksElevator_270p,22,slow,11225.58,41.3311
SparksElevator_270p,27,slow,6575.43,37.2095
SparksElevator_270p,32,slow,3895.42,33.7413
SparksElevator_270p,37,slow,2494.52,30.7006
SparksElevator_270p,22,slower,11213.78,41.3369
SparksElevator_270p,27,slower,6565.99,37.2192
SparksElevator_270p,32,slower,3910.05,33.7489
SparksElevator_270p,37,slower,2488.86,30.7122
SparksElevator_270p,22,veryslow,11215.19,41.3369
SparksElevator_270p,27,veryslow,6567.41,37.2192
SparksElevator_270p,32,veryslow,3911.46,33.7489
SparksElevator_270p,37,veryslow,2490.27,30.7122
SparksElevator_270p,22,placebo,11238.32,41.3577
SparksElevator_270p,27,placebo,6589.59,37.2350
SparksElevator_270p,32,placebo,3929.40,33.7650
SparksElevator_270p,37,placebo,2492.63,30.7155
