VideoName,QP,Preset,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used,Passed_Validation
Boat_2k,37,medium,831.5049394,3.0173794726367,19.4588488438,5,True
Boat_2k,37,superfast,747.379332666667,0.648709987857697,17.4628361793333,3,True
Boat_2k,37,ultrafast,200.990065833333,1.14716244025184,4.72822800333333,6,True
Boat_2k,37,veryfast,784.83488975,0.289865492085985,18.4096395295,4,True
BoxingPractice_4k,22,fast,3688.716216,16.5955640316863,86.8200451602,5,True
BoxingPractice_4k,22,faster,3679.65609683333,19.3185639519925,86.6168642385,6,True
BoxingPractice_4k,22,medium,3901.9150905,2.84998439616693,91.82883296825,4,True
BoxingPractice_4k,22,superfast,3484.39481871429,7.5503570370229,82.0979314281429,7,True
BoxingPractice_4k,22,ultrafast,920.775301666667,4.91835644871901,21.8986935043333,6,True
BoxingPractice_4k,22,veryfast,3683.5076602,17.1626350378831,86.7440916216,5,True
BoxingPractice_4k,27,fast,2935.1578908,4.41621794411901,67.6098682818,5,True
BoxingPractice_4k,27,faster,2928.04128625,5.68775493209576,67.65919324475,4,True
BoxingPractice_4k,27,medium,3110.54502533333,17.0813672565031,71.7425172908333,6,True
BoxingPractice_4k,27,superfast,2804.4094315,7.69816049678928,64.27143872575,4,True
BoxingPractice_4k,27,ultrafast,747.198323166667,4.17935925910302,17.2582905023333,6,True
BoxingPractice_4k,27,veryfast,2932.26736818182,9.15757091758501,67.5667473818182,11,True
BoxingPractice_4k,32,fast,2460.2903938,10.9127107908198,55.603294212,5,True
BoxingPractice_4k,32,faster,2454.3890902,8.70771192562703,55.6039337102,5,True
BoxingPractice_4k,32,medium,2562.0626182,5.76158290335232,58.1369478344,5,True
BoxingPractice_4k,32,superfast,2369.76573266667,7.13243924767444,53.8101305981667,6,True
BoxingPractice_4k,32,ultrafast,651.834843857143,4.19732937648272,14.7998620015714,7,True
BoxingPractice_4k,32,veryfast,2448.12153576923,8.25034675119435,55.5014422701539,13,True
BoxingPractice_4k,37,fast,2198.871495,6.66197044924454,49.4733342002,5,True
BoxingPractice_4k,37,faster,2199.05822075,12.0000307679421,49.64690434225,8,True
BoxingPractice_4k,37,medium,2270.39834725,1.09344872029019,51.18372589625,4,True
BoxingPractice_4k,37,superfast,2147.24533683333,10.7892765404437,48.1778314783333,6,True
BoxingPractice_4k,37,ultrafast,606.239608,2.48791182977814,13.6458898725,6,True
BoxingPractice_4k,37,veryfast,2199.2926185,1.80349234772954,49.504479446,4,True
ControlledBurn_720p,22,fast,447.9030282,1.75491738378754,10.8854708204,5,True
ControlledBurn_720p,22,faster,447.1017852,1.36185320102396,10.8728076078,5,True
ControlledBurn_720p,22,medium,476.454448666667,1.25562956802867,11.5767873958333,6,True
ControlledBurn_720p,22,superfast,418.4821198,1.37697532872641,10.146815478,5,True
ControlledBurn_720p,22,ultrafast,111.404255833333,0.623592362903237,2.75399400208333,12,True
ControlledBurn_720p,22,veryfast,443.46387675,0.708652405013147,10.8439168705,4,True
ControlledBurn_720p,27,fast,391.665929,0.873603126366601,9.497853051,5,True
ControlledBurn_720p,27,faster,392.1568698,1.58676829079885,9.5564851962,5,True
ControlledBurn_720p,27,medium,415.354503,1.23547702368114,10.1890331648,5,True
ControlledBurn_720p,27,superfast,371.503187,0.49467809289729,8.7882778776,5,True
ControlledBurn_720p,27,ultrafast,100.326433666667,0.459169808430679,2.41519865283333,6,True
ControlledBurn_720p,27,veryfast,393.254507,0.392855565765588,9.73949728966667,3,True
ControlledBurn_720p,32,fast,343.66116875,0.435794764815102,8.31757566925,4,True
ControlledBurn_720p,32,faster,344.3742282,0.396015710395055,8.2476650172,5,True
ControlledBurn_720p,32,medium,364.7715885,0.120055951512895,8.645903889,4,True
ControlledBurn_720p,32,superfast,327.3603314,1.15013025776944,7.6992326602,5,True
ControlledBurn_720p,32,ultrafast,89.3040318888889,0.70873165985926,2.13047298577778,9,True
ControlledBurn_720p,32,veryfast,343.64015675,0.350765741180991,8.22946139175,4,True
ControlledBurn_720p,37,fast,302.754181,0.699615868888778,7.1729132516,5,True
ControlledBurn_720p,37,faster,302.7347356,0.68347903737591,7.1868168018,5,True
ControlledBurn_720p,37,medium,318.9847424,0.806938381953852,7.55879676,5,True
ControlledBurn_720p,37,superfast,289.5945348,0.656943902498303,6.737326136,5,True
ControlledBurn_720p,37,ultrafast,80.9532026666667,0.489230991831739,1.90277433033333,6,True
ControlledBurn_720p,37,veryfast,302.99841575,0.801310892756519,7.1893338585,4,True
Crosswalk_4k,22,fast,3647.1026992,14.2636994508561,85.5496559146,5,True
Crosswalk_4k,22,faster,3661.53131928571,23.3599414433278,85.9346287912857,7,True
Crosswalk_4k,22,medium,3919.23258157143,14.3462233547696,91.9306933441428,7,True
Crosswalk_4k,22,superfast,3453.75551914286,21.0760052601718,80.3870371242857,7,True
Crosswalk_4k,22,ultrafast,907.491643142857,1.85767971794462,21.0276129415714,7,True
Crosswalk_4k,22,veryfast,3654.7880926,15.189745164565,85.65328004,5,True
Crosswalk_4k,27,fast,2793.91936133333,1.98111730731028,64.0864016126667,3,True
Crosswalk_4k,27,faster,2796.55883525,6.30097652758046,64.1653457155,8,True
Crosswalk_4k,27,medium,2992.0753966,16.3623875542942,68.5492422765,10,True
Crosswalk_4k,27,superfast,2675.28835766667,13.4322200530477,60.9551084448333,6,True
Crosswalk_4k,27,ultrafast,698.141139571429,3.51965542041868,15.8878970915714,7,True
Crosswalk_4k,27,veryfast,2805.18298714286,7.54913191748467,64.3591297327143,7,True
Crosswalk_4k,32,fast,2378.9751232,10.6754539459425,53.8866709168,5,True
Crosswalk_4k,32,faster,2383.9153145,5.75500639790356,53.86569446875,8,True
Crosswalk_4k,32,medium,2498.3165784,7.56796515480015,56.839275149,5,True
Crosswalk_4k,32,superfast,2308.791444,9.77105390380267,52.2148018978572,7,True
Crosswalk_4k,32,ultrafast,616.9415848,1.84908283641842,13.9558663354,5,True
Crosswalk_4k,32,veryfast,2384.0598268,7.50202804212232,53.9166110788,5,True
Crosswalk_4k,37,fast,2162.0790228,3.24160612108384,48.5922270758,5,True
Crosswalk_4k,37,faster,2159.92330375,3.29093916723331,48.6289767295,4,True
Crosswalk_4k,37,medium,2255.5039,0.897641797093176,50.62950391825,4,True
Crosswalk_4k,37,superfast,2112.972638,1.19639702000172,47.480107778,3,True
Crosswalk_4k,37,ultrafast,581.890830333333,4.96210873544076,13.100718004,9,True
