VideoName,QP,Preset,Repeat,RAPL_Core_Before_uJ,RAPL_Core_After_uJ
RollerCoaster_720p,22,slow,6,127874489596,128412294798
RollerCoaster_720p,22,slow,7,128412306334,128938480646
RollerCoaster_720p,22,slow,8,128938492487,129463742119
RollerCoaster_720p,22,slow,9,129463756279,129998646511
RollerCoaster_720p,22,slow,10,129998665005,130522613798
RollerCoaster_720p,22,slow,11,130522631376,131047834865
RollerCoaster_720p,22,slow,12,131047845302,131572557948
RollerCoaster_720p,22,slow,13,131572564845,132095482208
RollerCoaster_720p,22,slow,14,132095492889,132630697390
RollerCoaster_720p,22,slow,15,132630713137,133156317993
RollerCoaster_720p,22,slower,1,133156329651,133817863724
RollerCoaster_720p,22,slower,2,133817873733,134491303894
RollerCoaster_720p,22,slower,3,134491311829,135153617567
RollerCoaster_720p,22,slower,4,135153640272,135816522670
RollerCoaster_720p,22,slower,5,135816538050,136479497901
RollerCoaster_720p,22,slower,6,136479505103,137157551219
RollerCoaster_720p,22,slower,7,137157566234,137817285858
RollerCoaster_720p,22,slower,8,137817297821,138485635466
RollerCoaster_720p,22,slower,9,138485656584,139163096622
RollerCoaster_720p,22,slower,10,139163110355,139826349746
RollerCoaster_720p,22,slower,11,139826358108,140494551465
RollerCoaster_720p,22,slower,12,140494565992,141171834399
RollerCoaster_720p,22,slower,13,141171854419,141834733154
RollerCoaster_720p,22,slower,14,141834749450,142499972906
RollerCoaster_720p,22,slower,15,142499984198,143180003575
RollerCoaster_720p,22,veryslow,1,143180021946,143848390353
RollerCoaster_720p,22,veryslow,2,143848402682,144515929842
RollerCoaster_720p,22,veryslow,3,144515944674,145178350205
RollerCoaster_720p,22,veryslow,4,145178362229,145856699054
RollerCoaster_720p,22,veryslow,5,145856732074,146518059971
RollerCoaster_720p,22,veryslow,6,146518073032,147181286239
RollerCoaster_720p,22,veryslow,7,147181295456,147855171843
RollerCoaster_720p,22,veryslow,8,147855185210,148516299606
RollerCoaster_720p,22,veryslow,9,148516319565,149180073908
RollerCoaster_720p,22,veryslow,10,149180088862,149858074370
RollerCoaster_720p,22,veryslow,11,149858094877,150521957497
RollerCoaster_720p,22,veryslow,12,150521974220,151187080916
RollerCoaster_720p,22,veryslow,13,151187093001,151862641382
RollerCoaster_720p,22,veryslow,14,151862651269,152525196021
RollerCoaster_720p,22,veryslow,15,152525210791,153198743308
RollerCoaster_720p,22,placebo,1,153198751486,154086771186
RollerCoaster_720p,22,placebo,2,154086787299,154976905504
RollerCoaster_720p,22,placebo,3,154976918626,155866372038
RollerCoaster_720p,22,placebo,4,155866387296,156770881319
RollerCoaster_720p,22,placebo,5,156770891756,157665878539
RollerCoaster_720p,22,placebo,6,157665890136,158570385928
RollerCoaster_720p,22,placebo,7,158570399234,159464426120
RollerCoaster_720p,22,placebo,8,159464445102,160371956939
RollerCoaster_720p,22,placebo,9,160371966399,161266113158
RollerCoaster_720p,22,placebo,10,161266128600,162163346579
RollerCoaster_720p,22,placebo,11,162163361655,163076049931
RollerCoaster_720p,22,placebo,12,163076062077,163967485515
RollerCoaster_720p,22,placebo,13,163967501262,164876700167
RollerCoaster_720p,22,placebo,14,164876716891,165785627833
RollerCoaster_720p,22,placebo,15,165785640590,166677108156
RollerCoaster_720p,27,ultrafast,1,166677123720,166740771140
RollerCoaster_720p,27,ultrafast,2,166740785422,166804698589
RollerCoaster_720p,27,ultrafast,3,166804708598,166868295838
RollerCoaster_720p,27,ultrafast,4,166868315919,166932320638
RollerCoaster_720p,27,ultrafast,5,166932339131,166996107462
RollerCoaster_720p,27,ultrafast,6,166996125162,167059910643
RollerCoaster_720p,27,ultrafast,7,167059924559,167123875567
RollerCoaster_720p,27,ultrafast,8,167123893572,167191235990
RollerCoaster_720p,27,ultrafast,9,167191262479,167265135154
RollerCoaster_720p,27,ultrafast,10,167265159324,167328992290
RollerCoaster_720p,27,ultrafast,11,167329005169,167393132080
RollerCoaster_720p,27,ultrafast,12,167393142944,167457713519
RollerCoaster_720p,27,ultrafast,13,167457726275,167521436378
RollerCoaster_720p,27,ultrafast,14,167521452979,167584896359
RollerCoaster_720p,27,ultrafast,15,167584907895,167648716387
RollerCoaster_720p,27,superfast,1,167648728349,167876774457
RollerCoaster_720p,27,superfast,2,167876788862,168107624086
RollerCoaster_720p,27,superfast,3,168107634279,168336831873
RollerCoaster_720p,27,superfast,4,168336845118,168564901175
RollerCoaster_720p,27,superfast,5,168564912711,168793757462
RollerCoaster_720p,27,superfast,6,168793775833,169020937483
RollerCoaster_720p,27,superfast,7,169020950606,169261905128
RollerCoaster_720p,27,superfast,8,169261923011,169491424255
RollerCoaster_720p,27,superfast,9,169491436095,169721218283
RollerCoaster_720p,27,superfast,10,169721236105,169949392870
RollerCoaster_720p,27,superfast,11,169949403124,170178826670
RollerCoaster_720p,27,superfast,12,170178840158,170407014257
RollerCoaster_720p,27,superfast,13,170407028539,170636379270
RollerCoaster_720p,27,superfast,14,170636393858,170865548606
RollerCoaster_720p,27,superfast,15,170865562216,171095118208
RollerCoaster_720p,27,veryfast,1,171095131819,171335112711
RollerCoaster_720p,27,veryfast,2,171335128763,171573579081
RollerCoaster_720p,27,veryfast,3,171573597879,171814652560
RollerCoaster_720p,27,veryfast,4,171814676120,172065152529
RollerCoaster_720p,27,veryfast,5,172065167055,172302312872
RollerCoaster_720p,27,veryfast,6,172302323614,172539867928
RollerCoaster_720p,27,veryfast,7,172539882820,172777303660
RollerCoaster_720p,27,veryfast,8,172777317454,173015306042
RollerCoaster_720p,27,veryfast,9,173015321361,173254207652
RollerCoaster_720p,27,veryfast,10,173254219248,173491701001
RollerCoaster_720p,27,veryfast,11,173491713330,173734975403
RollerCoaster_720p,27,veryfast,12,173734998840,173979445114
RollerCoaster_720p,27,veryfast,13,173979459335,174216283741
RollerCoaster_720p,27,veryfast,14,174216294483,174454127615
RollerCoaster_720p,27,veryfast,15,174454146413,174691706718
RollerCoaster_720p,27,faster,1,174691721061,174930187431
RollerCoaster_720p,27,faster,2,174930197929,175169412160
RollerCoaster_720p,27,faster,3,175169423879,175408987780
RollerCoaster_720p,27,faster,4,175408995898,175646049002
RollerCoaster_720p,27,faster,5,175646061087,175884284049
RollerCoaster_720p,27,faster,6,175884302542,176121010310
RollerCoaster_720p,27,faster,7,176121025081,176358599180
RollerCoaster_720p,27,faster,8,176358615598,176607344942
RollerCoaster_720p,27,faster,9,176607362398,176843727027
RollerCoaster_720p,27,faster,10,176843737769,177081232950
RollerCoaster_720p,27,faster,11,177081250284,177318128400
RollerCoaster_720p,27,faster,12,177318140241,177556589826
RollerCoaster_720p,27,faster,13,177556606611,177791968374
RollerCoaster_720p,27,faster,14,177791982412,178030233450
RollerCoaster_720p,27,faster,15,178030251272,178272964091
RollerCoaster_720p,27,fast,1,178272986063,178519633686
RollerCoaster_720p,27,fast,2,178519645100,178757285116
RollerCoaster_720p,27,fast,3,178757296591,178994860436
RollerCoaster_720p,27,fast,4,178994875695,179232225246
RollerCoaster_720p,27,fast,5,179232234401,179471130884
RollerCoaster_720p,27,fast,6,179471147608,179710210656
RollerCoaster_720p,27,fast,7,179710228478,179946898038
RollerCoaster_720p,27,fast,8,179946911649,180184225922
RollerCoaster_720p,27,fast,9,180184240875,180423324308
RollerCoaster_720p,27,fast,10,180423337919,180661408355
RollerCoaster_720p,27,fast,11,180661425322,180898288669
RollerCoaster_720p,27,fast,12,180898300204,181148403141
RollerCoaster_720p,27,fast,13,181148413883,181385979071
RollerCoaster_720p,27,fast,14,181385994696,181622877329
RollerCoaster_720p,27,fast,15,181622893808,181859370925
RollerCoaster_720p,27,medium,1,181859386184,182108133167
RollerCoaster_720p,27,medium,2,182108149463,182355962610
RollerCoaster_720p,27,medium,3,182355977747,182604785399
RollerCoaster_720p,27,medium,4,182604806761,182858455770
RollerCoaster_720p,27,medium,5,182858481588,183110741867
RollerCoaster_720p,27,medium,6,183110763474,183359647358
RollerCoaster_720p,27,medium,7,183359662311,183607835016
RollerCoaster_720p,27,medium,8,183607851007,183855203706
RollerCoaster_720p,27,medium,9,183855213716,184103382392
RollerCoaster_720p,27,medium,10,184103395088,184351381757
RollerCoaster_720p,27,medium,11,184351396650,184599884600
RollerCoaster_720p,27,medium,12,184599897784,184848130974
RollerCoaster_720p,27,medium,13,184848145500,185095849212
RollerCoaster_720p,27,medium,14,185095862457,185343528510
RollerCoaster_720p,27,medium,15,185343544257,185602936964
RollerCoaster_720p,27,slow,1,185602964003,186022655067
RollerCoaster_720p,27,slow,2,186022691505,186443235838
RollerCoaster_720p,27,slow,3,186443267271,186865025957
RollerCoaster_720p,27,slow,4,186865057390,187289574187
RollerCoaster_720p,27,slow,5,187289601714,187721398765
RollerCoaster_720p,27,slow,6,187721429649,188143387919
RollerCoaster_720p,27,slow,7,188143416056,188567399468
RollerCoaster_720p,27,slow,8,188567432061,188990153513
RollerCoaster_720p,27,slow,9,188990182504,189411467742
RollerCoaster_720p,27,slow,10,189411494841,189836910744
RollerCoaster_720p,27,slow,11,189836939553,190273268392
RollerCoaster_720p,27,slow,12,190273300862,190697566927
RollerCoaster_720p,27,slow,13,190697605929,191118471489
RollerCoaster_720p,27,slow,14,191118511956,191540756907
RollerCoaster_720p,27,slow,15,191540792735,191974536559
RollerCoaster_720p,27,slower,1,191974560667,192507563392
RollerCoaster_720p,27,slower,2,192507592933,193042004224
RollerCoaster_720p,27,slower,3,193042030591,193576075000
RollerCoaster_720p,27,slower,4,193576103137,194107953094
RollerCoaster_720p,27,slower,5,194107973907,194658957543
RollerCoaster_720p,27,slower,6,194658996483,195197061024
RollerCoaster_720p,27,slower,7,195197096180,195734027056
RollerCoaster_720p,27,slower,8,195734053546,196270919725
RollerCoaster_720p,27,slower,9,196270953477,196819912643
RollerCoaster_720p,27,slower,10,196819944625,197358167308
RollerCoaster_720p,27,slower,11,197358199107,197909644289
RollerCoaster_720p,27,slower,12,197909671206,198447299529
RollerCoaster_720p,27,slower,13,198447337127,198982257877
RollerCoaster_720p,27,slower,14,198982294314,199518778781
RollerCoaster_720p,27,slower,15,199518802462,200055477480
RollerCoaster_720p,27,veryslow,1,200055509707,200591353611
RollerCoaster_720p,27,veryslow,2,200591380466,201142683010
RollerCoaster_720p,27,veryslow,3,201142714077,201679010311
RollerCoaster_720p,27,veryslow,4,201679049313,202212348301
RollerCoaster_720p,27,veryslow,5,202212383946,202745167433
RollerCoaster_720p,27,veryslow,6,202745192457,203279597400
RollerCoaster_720p,27,veryslow,7,203279635669,203823459655
RollerCoaster_720p,27,veryslow,8,203823489257,204352747424
RollerCoaster_720p,27,veryslow,9,204352776355,204884641814
RollerCoaster_720p,27,veryslow,10,204884665496,205424799916
RollerCoaster_720p,27,veryslow,11,205424824758,205959732629
RollerCoaster_720p,27,veryslow,12,205959745507,206489817331
RollerCoaster_720p,27,veryslow,13,206489844370,207019980708
RollerCoaster_720p,27,veryslow,14,207020002681,207552683263
RollerCoaster_720p,27,veryslow,15,207552713048,208097607344
RollerCoaster_720p,27,placebo,1,208097626509,208762374990
