config,preset,mape_linear,mape_xgb,n_samples
A,fast,0.041748557348631664,0.027794040745400393,120.0
A,faster,0.04191064578470447,0.028188862386033322,120.0
A,superfast,0.03739633807067236,0.028024561863773143,120.0
A,veryfast,0.040332323934157796,0.026110150482770066,120.0
B,fast,0.049504414304513696,0.027099285538024823,120.0
B,faster,0.047391450095337746,0.023820083137345974,120.0
B,superfast,0.05628397485189641,0.02637447124578739,120.0
B,veryfast,0.05368809819314826,0.03307233782761311,120.0
