config,model,r2,rmse,mape_like
A,Linear,0.9527607276901932,0.6329600219378616,0.040346966284541576
A,XGBoost,0.9476500888020498,0.6663197034722982,0.02752940386949423
B,Linear,0.9191040752530404,0.8283006518054143,0.05171698436122403
B,XGBoost,0.9309688860427807,0.7651509503205498,0.027591544437192823
