config,preset,Ir,Dr,Dw,I1mr,D1mr,D1mw,ILmr,DLmr,DLmw,Bc,Bcm,Bi,Bim
A,fast,1582183333333.3333,422345825631.925,197531596234.36667,11426425996.008333,3370542229.225,2914192121.6833334,855416.6583333333,117965208.925,134319041.79166666,101058351480.99167,8451609542.258333,10459048513.5,1091677153.425
A,faster,1578291666666.6667,421283333333.3333,196779035304.325,11496162361.666666,3357378966.4166665,2905120485.141667,838867.8916666667,116071853.49166666,130915537.55833334,100537592354.5,8397361430.366667,10414485013.283333,1088359242.9583333
A,superfast,1498916666666.6667,402316666666.6667,187712883357.36667,11212730514.483334,4304917425.766666,2837442413.0333333,662558.7583333333,76505518.75,117763503.4,95129386372.38333,8274410989.141666,10233197729.883333,1071702594.6833333
A,veryfast,1578573037440.1584,421556946496.15,197532830124.59167,11240510971.65,3394407901.483333,2930623328.25,853964.125,118510842.53333333,135456266.96666667,101479583159.725,8485630296.191667,10507609053.783333,1096978747.6333334
B,fast,1561750000000.0,416783333333.3333,193722773176.975,11894363523.625,3231622867.758333,2843826512.241667,759552.675,106522753.075,115299681.18333334,98008447016.10834,8169158359.175,10202840401.533333,1067984389.025
B,faster,1599066666666.6667,426133333333.3333,197163943169.35,12494495158.575,3238874716.266667,2858611119.5666666,783003.1583333333,107439817.26666667,116905730.53333333,98948477751.325,8252468166.016666,10280017205.291666,1074933831.35
B,superfast,1496925000000.0,400275000000.0,186977791643.43332,11294816941.5,4293240059.608333,2769118076.15,713144.8166666667,104988203.21666667,104823200.29166667,94341056272.95,8087937505.45,9975591601.616667,1040900815.6166667
B,veryfast,1543775000000.0,412158333333.3333,192118746711.70834,11492960050.158333,3224955780.6583333,2829460276.8166666,755138.0,105782968.375,115010702.78333333,97740965791.54167,8163220403.366667,10159047743.591667,1061610407.3833333
