,A_linear,A_xgb,B_linear,B_xgb,AminusB_xgb,AminusB_linear
fast,0.041748557348631664,0.027794040745400393,0.049504414304513696,0.027099285538024823,0.0006947552073755699,-0.007755856955882032
faster,0.04191064578470447,0.028188862386033322,0.047391450095337746,0.023820083137345974,0.004368779248687348,-0.005480804310633275
superfast,0.03739633807067236,0.028024561863773143,0.05628397485189641,0.02637447124578739,0.0016500906179857527,-0.01888763678122405
veryfast,0.040332323934157796,0.026110150482770066,0.05368809819314826,0.03307233782761311,-0.006962187344843045,-0.013355774258990462
